"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",45.43,403.04,123.38,108.38,25.35,4.83,75.56,14.01,26.05,6.28,1.03,12.10,25.91,50.52,11.38,6.51,14.51,243.47,8.92
"1259","安心",38.37,522.85,220.98,214.61,"NA",67.51,5.40,78.59,4.64,13.75,1.75,5.61,8.98,59.02,3.23,5.37,40.93,137.29,0.09
"1264","德麥",17.85,350.55,457.02,355.35,12763.75,4.55,80.21,5.22,69.92,5.63,1.29,17.65,21.94,210.88,13.53,14.54,140.84,119.88,11.65
"1268","漢來美食",54.27,199.59,119.33,88.66,113.86,31.28,11.66,28.97,12.59,5.23,1.26,9.82,21.75,89.58,7.74,7.30,37.09,151.72,23.07
"1336","台翰",51.58,134.67,102.90,82.23,-7.86,4.36,83.71,7.42,49.19,1.85,0.73,-4.75,-10.55,-22.48,-7.57,-2.16,5.15,54.24,5.57
"1565","精華",29.50,251.01,299.48,257.21,241.88,6.95,52.51,5.53,66.00,2.85,0.87,25.67,36.38,427.04,27.52,35.26,145.23,132.87,16.59
"1569","濱川",55.75,151.35,129.38,84.56,4.60,2.49,146.58,3.80,96.05,1.44,0.61,4.84,9.06,19.07,6.38,1.94,34.89,33.02,15.83
"1570","力肯",25.89,284.31,291.35,182.47,0.00,5.13,71.15,3.15,115.87,3.16,0.84,7.76,10.21,16.29,8.77,1.24,16.32,156.31,1.01
"1580","新麥",37.89,290.86,221.32,155.43,16632.88,5.34,68.35,3.86,94.55,6.10,1.42,18.66,29.53,162.93,13.03,11.27,82.56,129.50,19.10
"1584","精剛",43.31,157.90,486.03,254.29,1.19,4.55,80.21,1.65,221.21,0.45,0.30,0.79,0.16,0.50,0.26,0.02,158.26,61.56,11.57
"1586","和勤",52.16,176.54,140.47,86.81,66.09,2.86,127.62,6.01,60.73,2.17,0.72,-0.48,-3.20,-1.41,-1.91,-0.66,5.96,45.51,3.04
"1591","駿吉-KY",41.29,113.65,134.84,98.25,10.03,6.83,53.44,6.02,60.63,1.46,0.87,10.70,17.42,24.94,11.23,2.00,31.44,59.57,8.80
"1593","祺驊",21.93,318.71,327.87,266.39,77.64,4.63,78.83,3.64,100.27,3.09,0.78,9.89,12.50,39.15,12.45,3.30,59.11,106.85,4.04
"1595","川寶",25.48,419.70,487.03,362.80,827.21,1.41,258.86,1.14,320.17,1.55,0.31,1.42,1.58,12.50,3.84,0.72,70.11,85.40,6.50
"1599","宏佳騰",30.50,250.77,222.42,182.50,0.00,20.54,17.77,10.71,34.08,4.61,1.32,12.98,18.21,56.61,9.80,4.76,59.97,109.32,13.69
"1742","台蠟",34.02,166.31,198.52,66.26,-28.24,12.22,29.86,1.79,203.91,1.55,0.63,-15.54,-25.72,-21.30,-25.19,-2.31,-8.45,-7.03,-1.28
"1777","生泰",20.19,201.04,369.21,243.49,1035.05,6.90,52.89,2.14,170.56,1.75,0.61,12.63,15.87,64.34,20.67,5.27,121.57,88.19,11.72
"1781","合世",28.44,315.24,214.61,132.37,0.00,10.64,34.30,4.29,85.08,3.93,0.94,-11.27,-14.93,-17.32,-11.94,-1.59,0.00,91.39,0.00
"1784","訊聯",26.43,306.14,446.37,402.99,"*****",3.45,105.79,10.11,36.10,1.22,0.36,-0.85,-1.16,-4.88,-2.37,-0.19,-7.67,75.82,-1.85
"1785","光洋科",79.21,170.56,174.68,75.39,-1.28,13.17,27.71,4.02,90.79,3.02,1.25,-1.43,-10.80,-12.48,-1.87,-1.23,0.00,46.85,0.00
"1788","杏昌",36.95,481.45,214.81,166.37,118.84,2.63,138.78,5.26,69.39,8.44,1.16,8.54,13.47,74.14,7.33,5.93,36.33,43.44,8.94
"1796","金穎生技",32.90,198.25,224.96,147.13,79.94,5.13,71.15,3.24,112.65,2.92,1.08,22.66,33.85,46.75,20.80,3.79,128.11,247.74,17.20
