"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"8097","常珵",61.87,223.45,15.37,10.14,-5.42,3.89,93.83,8.54,42.74,0.52,0.15,-6.70,-18.96,-28.12,-51.27,-2.81,-10.82,8.92,-3.99
"8099","大世科",51.00,1073.62,191.68,128.55,148.78,4.86,75.10,5.02,72.70,34.86,1.68,5.29,10.66,18.60,3.12,1.59,-16.10,57.03,-7.25
"8107","大億金茂",40.71,391.38,222.20,111.46,8.68,0.86,424.41,4.70,77.65,0.71,0.19,4.48,9.35,16.70,20.65,1.12,51.35,123.15,16.79
"8109","博大",45.23,572.80,209.00,194.46,52.94,12.66,28.83,3.78,96.56,4.31,0.46,16.80,28.97,64.26,35.67,5.31,21.53,119.03,-3.35
"8111","立碁",36.80,138.11,128.97,104.87,-8.37,3.51,103.98,3.00,121.66,0.91,0.47,-5.16,-9.01,-9.34,-12.09,-0.99,8.67,70.99,2.57
"8121","越峰",47.11,138.16,143.30,86.48,-233.87,3.97,91.93,1.91,191.09,0.83,0.42,-1.38,-3.51,-7.55,-4.48,-0.55,2.53,75.39,0.67
"8147","正淩",40.09,263.84,184.47,147.31,197.48,3.97,91.93,4.49,81.29,5.28,1.17,9.95,16.83,36.58,8.43,2.80,32.16,167.02,5.51
"8155","博智",32.41,172.14,198.89,170.80,40.24,3.19,114.42,10.37,35.19,2.17,0.98,7.53,11.52,29.91,7.48,3.03,24.11,"NA",2.57
"8171","天宇",61.52,522.51,162.65,126.34,-1.84,7.28,50.13,8.91,40.96,17.09,1.89,-1.39,-4.13,-4.00,-0.93,-0.60,4.50,60.07,4.42
"8176","智捷",42.94,193.25,152.57,80.97,-3240.35,4.86,75.10,1.61,226.70,2.22,0.60,-18.91,-33.15,-42.74,-32.09,-2.75,"NA","NA","NA"
"8182","加高",35.54,180.07,229.29,193.49,1371.46,3.62,100.82,6.94,52.59,1.67,0.69,3.53,5.16,17.56,4.69,1.26,46.85,133.09,8.20
"8183","精星",45.38,217.75,169.59,134.25,8.13,3.78,96.56,8.86,41.19,4.23,1.17,2.50,4.07,6.22,1.87,0.52,8.73,253.09,3.74
"8234","新漢",47.26,189.70,157.67,97.11,32.15,5.66,64.48,5.17,70.59,3.52,1.17,11.74,22.33,41.30,9.05,3.56,3.09,33.90,-0.78
"8240","華宏",54.62,264.90,190.57,155.26,533.00,2.56,142.57,7.75,47.09,4.79,1.13,2.46,4.29,32.15,1.67,2.05,13.34,28.98,4.50
"8255","朋程",18.00,160.00,194.00,116.00,724.00,6.61,55.21,5.25,69.52,1.93,0.96,16.96,21.30,94.83,17.70,7.91,95.00,85.00,5.00
"8277","商丞",22.86,518.57,1436.18,1058.35,-1721.18,14.94,24.43,4.35,83.90,4.75,0.91,-3.74,-4.70,-6.19,-4.27,-0.67,717.62,365.16,38.84
"8279","生展",49.31,219.95,160.33,107.95,22.20,4.93,74.03,4.73,77.16,3.78,1.12,7.38,12.94,23.54,6.26,2.04,24.74,72.12,13.08
"8284","三竹",35.78,407.54,213.41,209.05,0.00,7.71,47.34,17.16,21.27,8.46,1.43,14.56,22.32,32.56,10.15,2.94,50.15,114.87,22.52
"8289","泰藝",30.38,267.22,280.31,214.29,1633.66,4.03,90.57,2.50,146.00,2.84,0.74,3.36,4.63,11.16,4.26,0.90,43.77,172.58,7.10
"8291","尚茂",42.11,142.99,160.56,113.99,-1952.31,3.25,112.30,3.70,98.64,1.38,0.65,-9.08,-16.36,-11.12,-14.59,-1.12,21.06,65.22,4.62
"8299","群聯",27.58,1010.85,319.33,232.51,1530.49,8.19,44.56,5.83,62.60,20.52,1.55,15.01,20.96,201.21,9.68,17.48,21.33,122.12,-3.36
"8349","恒耀國際",57.90,189.63,149.98,77.35,8.69,5.21,70.05,3.24,112.65,3.01,0.64,6.96,13.76,71.90,6.43,3.65,10.27,78.10,1.60
"8354","冠好",48.23,166.94,214.46,171.98,21.15,3.14,116.24,3.15,115.87,1.08,0.47,4.33,7.54,19.25,8.73,1.56,2.05,31.26,-0.47
"8358","金居",63.79,77.57,71.83,49.72,-5.80,4.04,90.34,6.97,52.36,1.30,0.78,-5.42,-16.11,-15.00,-7.91,-1.42,1.39,67.88,0.51
"8383","千附",35.08,294.99,164.89,98.20,11354.64,5.17,70.59,"NA","NA",2.97,0.70,8.27,13.19,33.53,11.80,3.04,74.10,101.34,31.91
"8390","金益鼎",44.91,331.14,285.45,142.27,4.99,10.27,35.54,4.48,81.47,5.27,1.23,1.22,0.75,4.28,0.33,0.50,0.00,24.70,0.00
"8401","白紗科",45.25,148.80,160.82,148.16,10.31,4.72,77.33,26.18,13.94,1.82,0.94,7.43,13.61,19.47,7.23,1.97,24.61,86.86,6.80
"8403","盛弘",50.87,313.15,135.15,123.46,10.15,3.36,108.63,8.85,41.24,5.73,0.79,5.01,9.02,25.16,5.75,1.81,9.04,37.38,4.70
