"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",27.73,625.54,226.64,185.92,25.44,4.91,74.33,8.30,43.97,7.68,0.93,6.47,9.57,33.96,6.71,3.20,13.91,86.57,-1.25
"1259","安心",39.36,427.05,207.57,176.81,"NA",56.50,6.46,87.09,4.19,12.66,1.77,4.09,6.78,53.13,2.30,4.36,33.98,153.42,0.07
"1264","德麥",16.35,381.27,489.91,368.88,108694.30,5.04,72.42,4.74,77.00,5.30,1.24,16.73,20.00,209.16,13.45,13.27,120.08,115.35,7.47
"1268","漢來美食",46.08,202.68,136.06,110.54,687.30,25.03,14.58,19.42,18.79,4.95,1.19,7.84,13.77,81.35,6.58,6.13,28.59,101.05,4.21
"1336","台翰",33.69,149.29,135.43,106.06,12.14,5.22,69.92,10.19,35.81,2.47,1.11,4.76,6.54,17.90,3.82,1.28,31.00,61.23,8.17
"1565","精華",33.62,170.96,216.37,159.51,131.09,7.38,49.45,4.60,79.34,1.70,0.76,19.37,29.78,415.03,24.97,33.07,81.44,97.84,4.78
"1569","濱川",56.80,133.62,120.66,72.62,2.28,2.74,133.21,2.76,132.24,1.42,0.58,1.75,1.75,8.78,1.26,0.35,6.16,27.17,1.93
"1570","力肯",17.00,335.99,449.89,313.19,10577.30,6.09,59.93,2.44,149.59,2.87,0.71,9.36,11.68,20.53,13.00,1.62,31.59,180.99,0.40
"1580","新麥",34.45,262.36,236.68,162.03,8031.65,5.97,61.13,3.77,96.81,5.45,1.31,15.05,23.31,137.22,11.25,9.43,68.25,119.62,8.94
"1584","精剛",56.53,132.20,96.04,36.89,-2.11,6.28,58.12,1.34,272.38,0.52,0.25,-2.34,-7.32,-8.36,-12.69,-0.84,3.42,74.03,1.61
"1586","和勤",53.71,179.77,124.16,67.87,576.60,3.28,111.28,3.96,92.17,2.83,0.81,4.21,6.96,20.21,4.16,1.36,3.50,34.49,1.46
"1591","駿吉-KY",42.09,131.72,135.78,70.46,6.05,11.08,32.94,5.03,72.56,2.40,1.24,8.24,12.07,16.21,5.68,1.44,13.43,57.44,5.14
"1593","祺驊",17.80,384.52,402.55,320.73,2340.66,4.13,88.37,3.42,106.72,3.38,0.75,11.28,14.19,45.40,15.08,3.80,75.85,106.81,3.76
"1595","川寶",33.25,457.54,279.61,167.20,3169.39,2.90,125.86,1.51,241.72,2.85,0.47,5.43,8.18,56.92,11.19,4.18,-17.09,68.28,-5.25
"1599","宏佳騰",31.45,208.22,218.40,175.16,0.00,18.99,19.22,11.09,32.91,3.43,1.13,10.04,14.68,45.06,8.28,3.59,31.44,137.40,8.29
"1742","台蠟",48.36,208.98,130.05,97.55,-19.63,8.75,41.71,2.22,164.41,1.59,0.43,-9.81,-17.56,-18.33,-23.80,-1.93,-33.85,-123.71,-11.95
"1777","生泰",39.78,161.59,161.42,75.54,42.94,6.57,55.55,1.78,205.05,1.17,0.46,9.33,14.70,63.90,19.62,5.12,27.69,66.08,9.64
"1781","合世",41.20,282.67,147.83,94.25,0.00,8.12,44.95,4.31,84.68,4.77,1.06,-6.32,-10.34,-9.79,-6.23,-0.81,0.00,62.42,0.00
"1784","訊聯",24.85,305.02,419.60,366.16,0.00,3.35,108.95,1.03,354.36,1.46,0.43,2.07,2.75,9.23,4.84,0.49,-5.68,22.50,-0.59
"1785","光洋科",73.93,107.05,88.09,18.04,2.50,13.47,27.09,2.58,141.47,3.10,1.07,3.41,8.47,11.78,1.98,0.98,0.00,17.50,0.00
"1788","杏昌",44.73,251.77,160.16,116.53,139.50,2.73,133.69,4.58,79.69,5.70,1.11,8.79,14.91,88.05,7.87,6.96,24.28,58.73,5.61
"1796","金穎生技",25.25,176.42,321.30,198.39,10.89,6.29,58.02,2.09,174.64,1.35,0.67,2.15,2.82,5.10,2.89,0.38,47.79,120.08,1.61
"1799","易威",21.24,215.16,179.51,168.32,-176.40,6.44,56.67,32.57,11.20,1.27,0.35,-27.03,-33.64,-33.92,-76.09,-2.45,-77.39,-150.65,-17.30
"1813","寶利徠",12.47,301.11,338.57,256.29,2346.72,4.96,73.58,3.24,112.65,1.36,0.40,3.63,4.30,8.97,9.50,1.37,115.89,121.33,5.55
"1815","富喬",49.14,139.37,198.80,141.46,4.96,5.23,69.78,5.08,71.85,0.55,0.36,3.56,5.49,13.14,8.09,0.97,47.68,116.92,3.32
"2035","唐榮公司",74.96,381.88,101.84,36.41,-15.17,37.95,9.61,4.63,78.83,3.96,0.78,-7.08,-26.44,-41.21,-9.68,-4.12,0.00,64.34,0.00
"2061","風青",40.01,344.88,200.75,146.18,-110.57,3.19,114.42,5.88,62.07,7.30,1.19,-1.02,-3.06,-3.30,-1.43,-0.32,-13.03,26.27,-6.90
"2063","世鎧",53.34,151.85,139.38,70.74,21.94,4.31,84.68,1.71,213.45,1.82,0.72,11.36,23.00,46.28,15.15,3.67,22.16,33.97,3.11
"2064","晉椿",57.73,1.43,1.08,0.57,3.39,4.87,74.94,3.97,91.93,2.19,0.80,3.00,5.16,12.64,2.68,1.02,-9.16,25.54,-8.60
"2065","世豐",28.70,185.86,183.99,98.73,51.49,6.18,59.06,4.23,86.28,2.36,0.97,6.63,8.93,35.22,6.69,2.87,17.03,49.04,0.73
"2066","世德",62.80,264.04,143.60,81.68,10.36,6.86,53.20,2.09,174.64,4.41,0.78,4.88,10.27,41.95,5.62,4.21,9.84,62.62,3.09
"2067","嘉鋼",59.98,129.05,118.04,79.40,7.25,4.35,83.90,5.84,62.50,2.46,1.01,5.69,12.12,18.96,4.89,1.41,14.96,49.92,6.67
"2070","精湛",39.00,208.91,212.60,111.64,19.25,4.40,82.95,1.01,361.38,1.68,0.55,5.59,9.53,30.29,9.60,2.60,19.77,26.95,2.20
"2221","大甲",44.33,232.48,240.73,119.14,44.75,3.75,97.33,1.74,209.77,2.67,0.78,11.42,19.73,43.59,13.33,3.54,3.08,118.92,-4.58
"2230","泰茂",50.64,201.64,142.94,98.24,2.95,3.38,107.98,2.40,152.08,2.14,0.57,1.64,2.10,3.81,1.78,0.25,2.74,42.33,1.33
"2235","謚源",16.90,183.70,195.52,129.32,95.92,3.25,112.30,3.61,101.10,1.11,0.48,6.71,9.39,37.38,13.74,3.01,81.67,99.44,4.30
"2596","綠意",6.86,4812.11,1315.07,211.83,830.20,8.60,42.44,0.34,1073.52,23.55,0.42,14.08,16.27,41.29,33.23,3.64,116.09,84.53,-0.34
"2640","大車隊",45.89,151.34,110.07,101.16,35.26,4.72,77.33,8.29,44.02,1.93,0.77,9.78,17.10,58.26,12.29,4.51,43.31,76.70,16.27
"2641","正德",64.30,94.66,38.59,30.91,1.91,39.85,9.15,48.95,7.45,0.20,0.18,3.97,6.24,5.98,11.55,0.62,64.82,48.51,8.13
"2643","捷迅",43.84,598.29,234.53,219.93,62.45,5.17,70.59,"*****","*****",22.17,2.43,6.66,11.85,34.04,2.70,2.81,17.47,1.93,2.69
"2718","全心投控",64.45,145.22,117.93,11.38,-21.86,17.08,21.37,0.43,848.83,0.45,0.19,-0.86,-1.84,-5.85,-4.82,-0.47,-103.29,-65.13,-101.88
"2719","燦星旅",69.82,819.23,126.61,87.94,0.00,54.49,6.69,615.22,0.59,108.30,3.44,-16.36,-45.75,-29.41,-4.75,-2.96,-26.43,-149.76,-56.30
"2724","藝舍-KY",95.85,99.60,65.40,31.73,91.76,19.86,18.37,1891.99,0.19,0.96,0.60,0.58,-9.64,-0.15,-0.66,-0.06,9.59,60.17,2.90
"2726","雅茗-KY",48.53,406.40,214.12,194.40,36.25,52.12,7.00,9.76,37.39,11.50,1.50,6.74,12.94,38.01,4.35,3.11,22.44,41.77,-2.49
