"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",40.49,318.58,154.07,107.53,0.19,6.35,57.48,10.34,35.29,7.82,1.55,-0.59,-1.41,-1.59,-0.56,0.14,-10.75,31.21,-11.33
"1259","安心",62.33,376.78,115.08,109.59,6.67,47.06,7.75,59.08,6.17,11.69,1.07,2.59,5.75,43.27,2.06,4.02,59.98,230.37,0.23
"1264","德麥",22.64,246.13,296.76,213.36,24323.92,4.95,73.73,5.41,67.46,4.36,1.19,16.37,20.85,255.48,13.69,17.09,61.83,102.14,4.28
"1268","漢來美食",70.54,175.10,137.80,111.69,6.67,20.01,18.24,13.88,26.29,3.81,0.69,2.74,6.76,33.05,3.46,3.08,38.48,109.63,8.25
"1294","漢田生技",43.29,145.89,164.02,129.33,40.27,8.00,45.62,7.33,49.79,1.31,0.71,11.08,20.54,34.70,15.16,3.06,65.31,73.14,14.84
"1336","台翰",37.85,229.66,226.47,186.76,19.66,5.59,65.29,11.40,32.01,2.89,1.05,7.05,9.64,33.53,5.91,2.05,43.16,121.83,9.01
"1565","精華",24.50,184.10,277.56,187.64,131.85,6.26,58.30,2.77,131.76,1.36,0.60,12.15,16.65,254.10,20.36,20.21,82.29,95.60,5.44
"1569","濱川",49.05,153.58,137.01,95.18,11.54,2.99,122.07,3.13,116.61,1.84,0.69,5.90,11.51,40.70,7.82,3.23,38.15,83.54,13.02
"1570","力肯",12.97,503.57,693.33,455.42,620.65,4.69,77.82,1.78,205.05,3.44,0.60,10.26,12.15,26.95,16.86,2.10,146.13,87.20,9.53
"1580","新麥",27.23,238.80,249.00,154.78,10611.48,7.80,46.79,2.96,123.31,3.56,1.05,9.66,13.82,124.76,9.01,6.70,65.88,109.85,6.98
"1584","精剛",49.18,384.32,310.51,80.32,6.64,5.27,69.25,1.04,350.96,2.12,0.51,4.86,8.50,9.73,8.27,1.12,80.40,72.30,21.88
"1586","和勤",63.91,120.34,110.64,60.25,161.13,3.50,104.28,3.14,116.24,1.29,0.58,1.71,2.73,2.78,1.70,0.53,1.11,57.48,-0.85
"1591","駿吉-KY",19.86,188.88,324.19,205.06,19.89,18.70,19.51,3.26,111.96,2.41,1.08,14.37,18.80,33.09,12.60,2.51,243.70,155.41,22.59
"1593","祺驊",34.45,191.32,201.12,152.55,43.51,3.86,94.55,3.00,121.66,1.11,0.47,10.81,15.84,59.12,22.75,5.24,31.70,43.84,0.14
"1595","川寶",47.75,369.77,178.90,93.12,3909.03,2.49,146.58,0.86,424.41,2.46,0.37,4.81,8.67,67.49,12.51,4.85,20.25,49.65,10.83
"1599","宏佳騰",35.05,214.42,222.58,146.12,0.00,18.48,19.75,5.43,67.21,2.78,1.09,8.90,13.83,36.76,8.13,3.76,27.35,105.07,3.34
"1742","台蠟",51.83,252.78,155.54,150.70,-7.92,7.56,48.28,4.19,87.11,0.88,0.19,-4.48,-9.33,-12.97,-25.64,-1.34,-57.66,-312.16,-31.90
"1777","生泰",20.87,225.87,316.54,244.18,61.49,9.29,39.28,1.73,210.98,1.21,0.35,10.57,14.12,79.66,29.94,6.62,87.11,152.93,13.63
"1781","合世",53.41,354.07,153.07,80.26,-392.99,6.49,56.24,2.59,140.92,6.69,1.01,-1.91,-4.67,-3.26,-2.20,-0.37,0.00,3.69,0.00
"1784","訊聯",27.95,314.00,272.99,248.51,154.83,4.60,79.34,4.17,87.52,1.96,0.54,2.98,4.06,14.20,5.47,0.80,34.55,73.73,4.54
"1785","光洋科",50.36,261.96,316.58,98.81,7.02,13.36,27.32,2.09,174.64,3.38,0.99,6.29,11.15,27.97,5.54,2.35,18.69,29.66,0.43
"1788","杏昌",45.89,280.05,157.99,106.54,36.41,3.59,101.67,4.99,73.14,4.60,1.05,8.42,15.45,111.58,7.81,9.06,25.74,72.11,3.69
"1796","金穎生技",30.17,150.05,156.15,92.86,29.84,5.52,66.12,3.02,120.86,1.21,0.51,7.70,11.84,26.58,14.74,2.26,51.18,96.62,5.42
"1799","易威",34.31,420.23,643.31,567.02,-8.75,7.69,47.46,3.14,116.24,0.68,0.14,-12.40,-20.01,-14.71,-94.12,-1.41,-83.45,-307.84,-5.25
"1813","寶利徠",27.76,256.55,168.86,111.42,-237.64,3.35,108.95,1.70,214.70,1.05,0.30,-0.47,-1.18,-3.74,-2.70,0.14,10.99,59.73,1.75
"1815","富喬",47.40,144.08,208.84,143.24,1.39,3.33,109.60,3.69,98.91,0.49,0.32,1.00,0.42,1.25,0.67,0.07,82.45,79.28,6.30
"2035","唐榮公司",67.12,446.02,134.81,31.88,-1.26,248.19,1.47,4.44,82.20,4.13,0.74,-0.77,-3.89,-6.42,-1.60,-0.64,62.10,81.71,5.36
"2061","風青",56.79,374.61,174.91,124.27,-375.82,2.38,153.36,4.56,80.04,6.29,0.80,-5.33,-13.45,-13.96,-7.87,-1.57,-14.53,-21.97,-17.85
"2063","世鎧",48.08,244.32,188.23,92.13,25.22,4.63,78.83,1.64,222.56,2.89,0.75,12.63,26.81,57.30,16.09,4.91,46.03,74.49,11.69
"2064","晉椿",56.22,125.70,90.44,44.60,4.87,4.28,85.28,2.99,122.07,2.11,0.71,3.30,6.64,15.21,3.66,1.14,30.77,49.38,15.64
"2065","世豐",47.86,343.61,292.77,176.63,45.46,5.63,64.83,2.68,136.19,3.97,0.87,12.74,22.59,76.81,14.29,6.95,78.31,63.76,9.10
"2066","世德",44.23,603.23,255.76,127.92,16.82,7.40,49.32,1.56,233.97,7.48,0.92,10.18,18.96,91.95,10.39,8.05,40.72,69.16,16.32
"2067","嘉鋼",76.39,100.67,80.52,49.17,-1.65,4.35,83.90,5.07,71.99,1.25,0.65,-1.44,-9.34,-13.24,-3.68,-0.62,0.81,25.36,0.40
"2070","精湛",29.29,293.26,269.59,175.41,31.56,5.08,71.85,0.97,376.28,1.71,0.45,6.33,9.59,30.45,13.75,2.32,102.08,239.21,19.96
"2073","雄順",47.59,129.36,119.48,113.97,15.65,4.51,80.93,75.97,4.80,1.19,0.72,6.25,11.60,24.50,8.14,1.96,96.56,133.40,8.76
"2221","大甲",36.08,268.76,311.51,181.83,77.13,4.51,80.93,2.37,154.00,3.59,0.98,16.39,27.16,84.43,16.41,6.76,45.61,115.72,2.88
"2230","泰茂",41.16,382.00,193.68,136.52,22.19,3.20,114.06,1.92,190.10,3.09,0.50,11.06,20.31,30.22,21.41,3.17,16.56,162.01,6.70
"2235","謚源",36.73,232.40,156.29,131.64,32.84,3.12,116.98,3.17,115.14,1.13,0.34,7.94,12.67,57.81,22.78,4.59,42.53,136.86,10.74
"2596","綠意",34.14,5190.43,282.10,75.26,1150.61,11.53,31.65,0.12,3041.66,8.63,0.11,1.58,2.21,8.03,13.33,0.58,"NA",17.94,"NA"
"2640","大車隊",40.96,201.05,160.22,147.49,282.56,9.39,38.87,7.61,47.96,2.13,0.81,10.67,18.16,74.87,13.06,6.00,77.97,136.85,21.44
"2641","正德",33.39,278.71,266.00,201.74,21.82,908.61,0.40,2.25,162.22,0.59,0.18,23.42,31.16,53.88,87.25,6.23,34.82,58.00,-0.01
"2643","捷迅",38.66,1461.25,280.23,251.37,159.10,5.68,64.26,"*****","*****",50.70,2.61,23.04,37.80,215.70,8.77,16.68,93.13,296.28,35.71
"2718","全心投控",63.37,479.04,144.78,41.75,-1.36,12.95,28.18,0.04,9125.00,0.25,0.03,-1.34,-3.41,-5.61,-51.76,-0.57,-21.78,-86.21,-30.07
"2719","燦星旅",22.46,491.82,730.03,702.24,-1496.48,14.15,25.79,457.24,0.79,0.67,0.18,-9.57,-15.98,-6.47,-54.50,-1.16,-49.71,-342.04,-5.69
"2724","藝舍-KY",67.75,3865.74,197.99,195.77,-159.16,4.22,86.49,4931.20,0.07,2.14,0.06,-3.12,-13.95,-5.84,-85.30,-0.60,49.74,1725.57,17.57
"2726","雅茗-KY",67.45,302.96,160.07,125.38,-21.64,28.13,12.97,5.76,63.36,6.50,0.74,-25.45,-72.92,-62.96,-35.51,-7.92,-21.64,189.31,-13.90
"2729","瓦城",50.00,162.53,89.76,70.40,6.72,13.01,28.05,14.27,25.57,2.47,0.93,2.71,5.31,47.86,2.43,3.62,45.97,134.85,13.15
"2732","六角",50.23,623.19,134.34,108.79,22.46,9.78,37.32,7.81,46.73,8.90,0.99,7.30,13.95,83.27,7.03,6.56,38.20,109.70,17.91
"2734","易飛網",56.84,337.91,239.54,181.93,-10.86,19.27,18.94,7.86,46.43,2.74,0.66,-7.04,-17.03,-11.83,-11.47,-1.26,6.13,-295.40,2.59
"2736","富野",46.09,143.57,103.83,99.86,1.98,45.98,7.93,64.23,5.68,0.49,0.26,1.15,1.00,3.51,1.99,0.24,24.55,152.52,6.15
"2740","天蔥",20.75,763.38,487.77,478.15,-71.02,13.63,26.77,16.03,22.76,2.86,0.51,-34.84,-55.75,-26.31,-69.26,-3.34,-45.59,0.00,-6.96
"2743","山富",57.55,847.73,145.95,123.01,-22.28,16.22,22.50,"NA","NA",8.90,0.55,-6.14,-12.74,-16.71,-11.52,-1.99,-5.04,134.72,-5.45
"2745","五福",65.78,323.10,122.98,89.84,-302.74,3.67,99.45,"NA","NA",3.13,0.50,-12.89,-25.69,-32.96,-26.13,-2.59,10.71,338.01,20.24
"2751","王座",63.22,412.85,105.86,87.17,7.50,11.38,32.07,15.52,23.51,16.54,2.33,4.29,10.61,8.76,1.65,0.89,51.39,170.79,24.20
"2752","豆府",43.64,337.79,226.07,216.10,55.67,11.16,32.70,29.98,12.17,6.07,1.37,15.40,27.22,126.37,11.02,10.36,84.07,133.88,10.17
"2754","亞洲藏壽司",65.50,226.14,66.77,60.80,9.36,38.07,9.58,105.68,3.45,2.71,0.92,6.46,17.41,64.86,6.26,5.21,102.62,116.39,17.33
"2755","揚秦",53.94,173.70,146.62,133.25,40.71,38.82,9.40,25.62,14.24,3.41,1.43,8.97,18.72,65.52,6.13,5.25,50.20,181.79,18.20
"2756","聯發國際",44.60,198.42,206.83,189.85,93.02,22.05,16.55,8.26,44.18,2.31,0.91,16.99,35.86,101.18,18.45,7.12,50.52,111.62,10.25
"2916","滿心",24.56,584.76,331.65,142.42,209.52,4.81,75.88,1.29,282.94,8.71,1.17,13.38,17.56,41.15,11.41,3.29,72.82,94.35,8.65
"2924","宏太-KY",23.67,196.12,248.70,237.04,1599.85,4.37,83.52,2.62,139.31,1.19,0.30,3.05,4.11,3.02,9.46,0.23,-62.49,-115.58,-18.10
"2926","誠品生活",94.89,107.21,85.78,57.67,"NA",7.04,51.84,3.34,109.28,0.64,0.41,-0.38,-25.08,-51.95,-3.43,-3.97,26.59,212.63,5.09
"2937","集雅社",71.29,242.80,113.78,63.76,28.32,5.42,67.34,3.17,115.14,13.60,1.40,5.37,17.88,47.17,3.69,3.80,1.15,12.96,-6.40
"2941","米斯特",38.58,787.54,230.43,150.32,139.36,6.89,52.97,2.37,154.00,19.67,1.49,12.79,20.45,37.09,8.53,3.09,44.85,"NA",38.02
"2947","振宇五金",72.98,403.61,101.32,30.76,4.89,294.97,1.23,2.50,146.00,4.03,0.73,3.32,9.11,42.82,3.63,3.47,26.74,73.43,11.54
"2948","寶陞",55.37,3142.17,176.20,48.15,12.56,15.37,23.74,1.85,197.29,83.79,1.60,11.28,23.39,78.06,6.46,6.23,3.21,7.77,-6.03
