"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1101","台泥",43.82,344.59,172.40,160.92,20.59,2.87,127.17,9.55,38.21,1.26,0.30,7.78,13.10,58.82,24.48,4.32,43.38,85.40,3.55
"1102","亞泥",42.82,441.23,135.92,125.61,21.75,4.05,90.12,7.63,47.83,1.51,0.26,6.63,11.07,71.83,23.99,4.70,30.64,172.32,3.79
"1103","嘉泥",38.45,606.96,385.43,380.09,1387.47,8.41,43.40,18.77,19.44,0.32,0.05,4.96,7.55,27.18,89.29,2.74,17.45,15.70,0.00
"1104","環泥",22.06,304.00,115.70,106.75,42.32,4.00,91.25,16.50,22.12,0.84,0.22,5.43,6.83,19.85,23.21,1.91,26.72,77.47,1.26
"1108","幸福",41.99,264.22,244.47,72.19,14.91,4.56,80.04,1.08,337.96,2.04,0.56,5.44,8.74,10.98,8.66,0.97,38.68,68.15,4.74
"1109","信大",19.22,325.78,303.94,261.67,981.76,3.29,110.94,5.78,63.14,2.52,0.66,12.61,15.95,61.95,19.08,2.94,99.31,352.53,13.16
"1110","東泥",13.35,3423.62,271.27,114.70,221.29,3.91,93.35,1.98,184.34,6.69,0.16,0.22,0.20,0.13,1.07,0.04,15.29,-9.87,0.84
"1201","味全",61.98,126.51,96.23,73.90,461.39,7.05,51.77,10.29,35.47,1.94,1.00,3.54,7.77,10.73,2.87,1.06,30.69,62.11,5.30
"1203","味王",32.35,265.14,272.59,178.50,66.74,12.76,28.60,2.59,140.92,2.01,0.64,7.52,11.07,39.22,11.48,1.81,69.60,143.00,6.29
"1210","大成",46.05,176.85,111.21,60.20,17.62,13.23,27.58,7.17,50.90,4.99,1.65,8.68,15.60,60.24,4.99,3.99,30.59,97.77,19.47
"1213","大飲",57.29,104.31,48.51,39.06,-1.06,4.99,73.14,10.78,33.85,0.55,0.32,-1.22,-4.96,-5.40,-6.65,-0.48,-0.79,-269.55,-0.30
"1215","卜蜂",55.32,125.79,97.41,67.25,24.64,10.25,35.60,12.75,28.62,2.26,1.16,8.91,18.89,76.47,7.39,6.18,40.95,57.62,7.44
