"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1259","安心",36.50,469.99,229.18,222.53,63061.00,80.98,4.50,73.13,4.99,11.38,1.75,3.41,5.27,38.93,1.95,4.05,42.80,127.72,0.09
"1264","德麥",22.55,360.49,346.51,263.74,5465.08,4.75,76.84,5.29,68.99,6.52,1.47,16.71,22.01,175.90,11.19,13.33,70.76,103.33,5.29
"1268","漢來美食",56.34,188.81,114.89,46.52,37.11,34.01,10.73,31.50,11.58,4.82,1.19,8.45,21.94,75.23,6.26,6.13,32.11,195.33,17.97
"1336","台翰",48.84,113.19,95.93,73.19,0.73,4.25,85.88,8.51,42.89,1.28,0.67,-5.16,-10.11,-28.03,-8.16,-2.38,4.08,40.41,2.68
"1565","精華",30.00,209.51,289.85,239.49,147.92,6.45,56.58,4.44,82.20,2.36,0.89,22.59,32.60,340.67,24.84,28.88,145.56,106.37,12.02
"1569","濱川",57.64,114.76,93.92,58.90,-6.95,1.83,199.45,4.05,90.12,1.09,0.47,-5.67,-15.34,-35.95,-13.47,-3.54,-0.48,8.63,-0.34
"1570","力肯",21.94,246.03,323.39,230.47,52248.00,6.16,59.25,3.67,99.45,2.78,0.90,12.08,15.22,20.29,12.27,1.68,97.57,168.33,18.13
"1580","新麥",36.55,268.18,232.10,153.21,6697.78,4.55,80.21,3.68,99.18,6.31,1.31,15.83,26.55,140.21,11.85,9.72,67.66,107.60,7.26
"1584","精剛",57.40,99.30,87.91,29.53,-2.23,5.41,67.46,2.05,178.04,0.45,0.32,-2.73,-8.48,-11.03,-11.32,-1.12,-0.03,13.23,-0.01
"1586","和勤",61.98,164.17,132.80,78.68,4.45,2.93,124.57,4.77,76.51,2.14,0.68,0.33,-1.17,-5.22,-0.71,-0.27,-1.31,42.18,-2.70
"1591","駿吉-KY",47.47,99.64,107.21,71.24,6.58,7.16,50.97,3.80,96.05,1.39,0.91,6.79,11.11,19.82,6.88,1.30,71.55,64.57,22.92
"1593","祺驊",21.82,327.07,464.85,365.68,68.55,4.35,83.90,3.59,101.67,3.03,0.85,8.90,11.42,33.57,10.29,3.21,56.33,99.91,2.35
"1595","川寶",24.52,448.15,537.67,406.51,4448.39,1.75,208.57,1.77,206.21,2.20,0.45,8.83,11.29,71.35,19.33,5.43,44.60,76.35,-1.47
"1599","宏佳騰",26.80,256.34,249.92,199.80,0.00,21.96,16.62,12.56,29.06,7.02,1.57,17.53,25.02,79.77,11.15,6.85,62.05,90.75,13.46
"1742","台蠟",40.83,151.40,149.87,58.91,-23.36,8.75,41.71,2.02,180.69,1.55,0.60,-11.03,-17.78,-19.08,-19.08,-1.91,-0.64,42.99,-0.16
"1777","生泰",20.84,265.48,472.23,306.12,872.59,6.29,58.02,2.24,162.94,2.00,0.59,13.44,16.62,62.92,22.86,5.20,86.95,96.15,5.60
"1781","合世",20.80,333.84,307.61,192.13,0.00,8.35,43.71,3.30,110.60,4.30,0.89,-9.70,-12.75,-15.73,-10.90,-1.31,31.00,64.04,7.60
"1784","訊聯",27.05,308.25,454.64,410.76,"*****",3.13,116.61,11.70,31.19,1.09,0.32,0.65,0.89,4.04,2.02,0.47,19.70,98.56,0.01
"1785","光洋科",77.55,92.04,83.50,24.57,-6.95,30.42,11.99,8.59,42.49,7.16,2.90,-4.43,-19.12,-27.54,-1.72,-2.62,10.14,86.94,8.35
"1788","杏昌",37.23,445.07,209.45,159.26,124.13,2.56,142.57,5.41,67.46,7.95,1.13,8.99,14.13,75.18,7.86,6.20,5.53,28.99,-7.57
"1796","金穎生技",35.38,245.06,277.10,174.85,33.43,6.06,60.23,2.92,125.00,3.29,1.15,17.16,27.71,23.16,14.48,2.26,103.00,436.25,10.03
"1799","易威",2.57,512.92,2181.34,1993.20,0.00,6.79,53.75,11.38,32.07,4.15,0.57,-18.39,-19.58,-23.11,-32.32,-2.34,-339.86,-214.20,-6.98
"1813","寶利徠",9.80,260.06,597.84,418.71,321122.86,3.83,95.30,2.36,154.66,1.00,0.35,8.98,9.91,24.09,25.19,2.12,173.66,121.21,5.12
"1815","富喬",43.82,127.28,169.16,109.61,5.51,5.91,61.75,4.51,80.93,0.53,0.39,4.23,6.41,11.90,8.75,1.04,62.32,119.02,6.05
"2035","唐榮公司",70.54,389.18,101.98,19.02,-7.69,38.81,9.40,3.68,99.18,3.34,0.68,-4.29,-15.54,-26.75,-7.24,-2.66,16.19,55.03,2.17
"2061","風青",38.10,330.00,208.73,175.25,-2103.29,3.12,116.98,6.42,56.85,5.58,1.00,-8.22,-13.97,-14.99,-8.53,-1.50,"NA",35.44,"NA"
"2063","世鎧",47.69,146.47,172.35,98.46,12.23,4.74,77.00,2.20,165.90,1.16,0.57,6.19,10.60,17.37,9.97,1.50,18.25,63.64,-0.25
"2064","晉椿",47.66,177.20,177.02,133.04,9.71,4.46,81.83,5.48,66.60,2.56,0.82,3.87,6.52,19.78,4.13,1.36,47.53,"NA",8.90
"2065","世豐",31.89,165.07,179.03,104.37,18.69,6.55,55.72,4.94,73.88,2.07,0.97,4.82,6.67,21.66,4.70,1.86,28.52,75.96,2.42
"2066","世德",20.03,343.67,394.37,283.07,10737.87,5.70,64.03,3.13,116.61,5.45,0.99,20.64,24.79,88.24,19.84,7.10,161.31,137.84,17.60
"2067","嘉鋼",66.32,115.14,98.07,56.54,-7.01,4.24,86.08,4.16,87.74,1.64,0.70,-6.35,-18.68,-31.10,-10.21,-2.79,1.68,60.90,0.05
"2070","精湛",41.69,194.76,271.30,141.47,104.53,5.76,63.36,1.29,282.94,1.53,0.65,11.93,21.49,63.70,18.23,5.27,-9.24,31.69,-4.31
"2221","大甲",46.64,197.49,272.44,111.07,16.26,5.56,65.64,1.44,253.47,1.98,0.72,6.65,11.87,21.20,8.37,1.68,42.14,102.93,9.21
"2230","泰茂",33.80,231.62,213.90,130.37,7.70,3.28,111.28,1.79,203.91,1.38,0.45,2.41,3.06,4.91,4.59,0.42,36.30,66.07,-3.59
"2235","謚源",33.68,152.74,99.68,69.08,54.27,3.22,113.35,4.54,80.39,1.37,0.59,13.72,21.03,72.13,22.68,5.22,51.71,121.62,8.37
"2596","綠意",38.03,3200.46,247.15,49.95,7.38,612.87,0.59,0.11,3318.18,5.76,0.12,2.66,3.52,7.64,19.69,0.70,-44.58,-25.10,-37.23
"2640","大車隊",53.12,145.85,81.11,72.31,10.97,4.52,80.75,4.40,82.95,1.96,0.62,7.61,14.89,51.67,11.11,4.20,16.33,63.83,0.63
"2641","正德",62.79,99.57,23.45,16.64,1.31,1193.82,0.30,56.28,6.48,0.21,0.17,2.56,3.90,1.24,7.79,0.47,28.56,57.11,5.24
"2643","捷迅",53.01,430.73,188.33,177.90,54.39,5.48,66.60,"*****","*****",21.65,2.96,9.74,20.84,61.73,3.22,4.08,21.18,3.60,10.31
"2718","全心投控",33.26,145.51,282.61,280.40,25.92,20.69,17.64,191.55,1.90,0.51,0.32,4.10,5.94,19.80,12.44,1.53,67.85,119.05,5.89
"2719","燦星旅",50.33,2007.59,180.99,155.88,0.00,89.60,4.07,430.88,0.84,117.06,3.02,-1.55,-3.11,-4.29,-0.51,-0.42,0.84,145.07,-4.43
"2724","藝舍-KY",71.98,74.36,41.62,15.75,-1.70,8.36,43.66,1240.19,0.29,0.61,0.39,-4.55,-20.87,-35.32,-16.62,-3.91,5.59,25.94,3.99
"2726","雅茗-KY",60.67,457.48,237.30,216.23,24.00,57.29,6.37,10.59,34.46,9.15,1.20,5.41,13.06,36.60,4.27,2.65,45.25,122.17,11.09
"2729","瓦城",19.73,189.92,290.28,259.46,271.38,21.15,17.25,17.53,20.82,3.99,1.54,12.51,15.39,145.15,8.08,12.00,107.57,75.84,8.83
"2732","六角",33.93,239.40,203.35,183.03,68.52,7.98,45.73,9.88,36.94,5.33,1.47,3.13,19.32,62.06,8.36,5.06,53.93,104.07,11.81
"2734","易飛網",48.87,426.01,327.32,290.27,0.06,36.55,9.98,197.47,1.84,9.06,1.83,-0.58,-1.66,-1.07,-0.53,-0.31,-14.01,111.39,-5.03
"2736","富野",31.07,148.99,224.58,213.61,5525.69,90.54,4.03,96.62,3.77,0.79,0.47,15.34,24.00,65.29,31.79,5.93,55.43,59.25,8.51
"2740","天蔥",31.40,163.50,178.57,169.89,20.82,18.99,19.22,70.81,5.15,4.77,2.36,7.41,10.46,19.72,2.98,1.80,100.54,99.90,21.22
"2745","五福",63.40,388.81,138.28,105.34,499.40,18.53,19.69,"NA","NA",50.81,4.81,9.16,26.73,51.74,1.76,4.30,24.11,290.96,33.18
"2916","滿心",30.68,429.32,290.06,112.30,56.76,5.57,65.52,1.15,317.39,6.00,1.07,6.33,8.91,17.75,5.83,1.47,28.12,94.22,2.83
"2924","宏太-KY",36.69,631.37,411.22,262.60,3441.32,8.06,45.28,1.20,304.16,6.87,0.97,1.99,2.70,19.03,1.90,0.71,39.61,53.58,2.59
"2926","誠品生活",65.58,191.62,117.47,101.75,6375.12,7.17,50.90,6.34,57.57,3.53,0.84,9.24,26.83,106.29,10.76,9.12,30.41,"NA",13.07
"2937","集雅社",56.61,362.22,150.54,90.03,59.27,4.32,84.49,2.84,128.52,10.54,1.41,3.20,6.88,11.09,2.23,0.87,0.83,"NA",-1.49
"3064","泰偉",38.19,135.79,92.92,65.02,-34.17,42.39,8.61,0.49,744.89,0.27,0.11,-23.70,-36.15,-38.96,-210.79,-3.74,-57.33,-116.34,-42.10
"3066","李洲",43.48,104.77,106.58,46.49,-16.68,3.02,120.86,1.49,244.96,0.80,0.34,-9.44,-24.94,-17.74,-29.31,-1.77,-11.71,-14.01,-2.98
"3067","全域",21.82,267.04,372.64,262.73,0.00,6.43,56.76,4.34,84.10,2.94,0.80,-10.58,-13.88,-13.57,-13.17,-1.34,0.00,23.53,0.00
"3071","協禧",40.49,288.18,190.05,151.40,5.02,3.00,121.66,5.96,61.24,4.58,0.96,0.39,0.46,1.02,0.28,0.05,21.68,158.95,10.18
"3073","天方能源",44.19,192.56,342.23,136.27,-3.58,1.63,223.92,0.28,1303.57,0.17,0.07,-4.65,-9.30,-4.37,-74.05,-0.66,-89.41,-133.39,-9.35
"3078","僑威",37.71,300.58,212.05,180.99,146.31,2.95,123.72,6.45,56.58,4.09,0.95,9.81,15.22,33.19,10.20,2.62,25.04,121.14,4.33
"3081","聯亞",10.12,384.32,745.69,709.39,"NA",4.33,84.29,5.34,68.35,2.54,0.70,34.24,38.97,170.66,48.77,14.89,239.99,"NA",13.01
"3083","網龍",15.42,9021.13,560.84,517.03,0.00,"NA","NA","NA","NA",26.67,0.22,-20.21,-22.95,-35.78,-90.05,-3.61,-89.41,12.31,-15.26
"3085","新零售",17.26,12101.52,537.19,529.62,"NA",5.25,69.52,"NA","NA",121.72,0.83,0.93,1.18,5.23,1.17,0.05,-9.12,683.84,-19.28
"3086","華義",60.04,453.86,159.59,146.51,-20.25,9.62,37.94,39.74,9.18,2.91,0.50,-15.05,-34.01,-22.31,-31.08,-2.21,-53.97,25.72,-17.57
"3088","艾訊",41.88,394.48,228.87,128.63,15489.58,8.17,44.67,3.51,103.98,11.25,1.72,15.88,26.39,72.69,9.19,5.38,57.35,84.26,11.10
"3093","港建*",23.35,356.82,355.21,326.08,0.00,4.44,82.20,8.31,43.92,3.42,0.73,8.84,11.44,27.68,11.72,2.67,74.05,70.80,18.61
"3095","及成",84.43,67.68,69.88,62.99,-8.45,2.88,126.73,9.37,38.95,2.10,0.89,-1.34,-21.25,-13.51,-4.47,-1.76,6.95,95.71,8.57
"3105","穩懋",28.63,167.82,151.64,94.60,63.29,17.29,21.11,3.65,100.00,1.03,0.52,11.68,16.12,57.56,22.23,3.97,106.23,117.83,16.19
"3114","好德",46.34,683.75,177.73,155.96,1884.98,2.87,127.17,14.95,24.41,15.52,1.27,4.13,7.06,14.52,3.08,1.18,-2.36,-86.76,-6.78
"3115","富榮綱",46.02,295.67,171.79,158.42,-1.36,2.13,171.36,14.44,25.27,6.34,1.16,-0.59,-1.79,-1.97,-0.85,-0.17,12.07,111.33,5.13
"3118","進階",23.07,342.60,327.45,284.65,0.00,5.32,68.60,4.70,77.65,3.40,0.76,11.50,15.16,29.29,15.08,2.42,63.71,121.01,4.84
"3122","笙泉",23.37,285.16,311.97,274.74,239.99,7.42,49.19,6.08,60.03,3.11,0.88,6.15,8.22,12.89,6.96,1.04,42.48,65.26,4.88
"3128","昇銳",37.24,184.31,205.33,95.14,1.37,5.32,68.60,2.11,172.98,1.99,0.80,1.05,0.93,0.74,1.65,0.06,-9.80,20.20,-3.21
"3131","弘塑",48.03,442.64,170.94,125.15,116.00,7.86,46.43,1.98,184.34,4.63,0.60,13.71,25.50,201.56,20.27,16.41,28.03,104.82,9.49
"3141","晶宏",21.06,1028.32,360.96,225.83,"NA",7.44,49.05,2.40,152.08,12.86,0.91,6.89,8.33,15.07,7.60,0.88,117.87,118.83,23.49
"3152","璟德",11.54,345.91,649.97,621.49,"NA",5.76,63.36,7.35,49.65,2.02,0.53,23.17,25.93,133.20,43.32,11.06,233.90,130.00,10.81
"3162","精確",50.23,121.09,102.82,49.45,-0.38,3.75,97.33,2.64,138.25,1.56,0.71,0.10,-1.55,-2.80,-1.07,-0.15,11.66,37.12,7.19
"3163","波若威",38.55,241.06,190.25,104.91,-9.27,6.09,59.93,3.08,118.50,3.92,1.07,-2.94,-4.78,-6.62,-0.03,-0.97,11.04,42.28,0.26
"3169","亞信",12.09,1045.85,558.43,455.75,2315.32,8.04,45.39,4.88,74.79,8.53,0.72,7.19,8.08,15.20,9.90,1.21,92.97,67.15,2.52
"3171","炎洲流通",65.05,155.62,158.16,149.70,29.54,3.14,116.24,18.60,19.62,2.40,0.99,5.60,14.52,16.26,4.80,1.41,13.86,28.71,7.63
"3176","基亞",22.92,217.51,452.22,406.14,-78.33,4.54,80.39,2.23,163.67,0.21,0.08,-14.53,-18.50,-54.06,-181.47,-3.90,88.30,-88.72,8.22
"3178","公準",67.88,100.92,91.66,63.44,5.33,4.42,82.57,4.85,75.25,1.33,0.70,6.42,17.52,23.83,7.44,2.05,36.65,168.95,14.77
"3188","鑫龍騰",8.11,7966.36,1173.46,1085.33,0.00,3.57,102.24,3.78,96.56,37.90,0.44,-8.34,-9.33,-5.04,-16.56,-0.61,35.29,-48.15,2.81
"3191","雲嘉南",31.63,249.01,204.47,166.75,-36.29,3.18,114.77,6.02,60.63,2.78,0.76,-16.23,-22.38,-26.10,-22.65,-2.46,-39.75,-1.30,-10.65
"3202","樺晟",57.03,251.30,142.44,92.66,-0.34,2.43,150.20,3.32,109.93,451.05,87.43,-0.64,-2.81,-2.63,-1.42,-0.24,3.40,-81.94,1.60
"3205","佰研",36.84,654.87,260.16,220.67,84.19,5.62,64.94,7.88,46.31,10.69,1.51,36.93,60.92,113.74,24.25,11.81,65.14,97.53,31.92
"3206","志豐",36.81,597.13,208.59,172.05,2415.89,4.23,86.28,9.04,40.37,12.01,1.29,7.74,12.17,26.02,5.70,2.03,22.55,146.40,9.83
"3207","耀勝",57.28,192.35,143.12,112.23,-36.75,3.31,110.27,6.54,55.81,4.99,1.31,-9.50,-20.04,-14.07,-7.39,-1.90,-0.98,65.95,-0.52
"3211","順達",54.92,648.66,187.97,155.94,3112.31,4.93,74.03,10.31,35.40,12.48,1.25,4.20,9.12,64.65,3.23,4.64,16.49,78.08,2.83
"3213","茂訊",21.98,776.84,497.65,278.74,0.00,26.98,13.52,2.70,135.18,12.34,1.24,14.30,18.44,48.54,11.41,3.98,59.58,95.46,-1.75
"3217","優群",25.44,249.03,199.24,157.86,54.87,2.81,129.89,4.57,79.86,2.12,0.65,4.95,6.47,13.54,7.43,1.11,52.50,99.37,7.25
"3218","大學光",39.16,164.89,186.28,171.92,21.75,3.42,106.72,5.53,66.00,1.39,0.55,4.17,7.08,15.17,7.99,1.23,33.40,88.68,5.85
"3219","倚強科",8.47,27288.61,1284.15,942.44,"NA",34.12,10.69,2.25,162.22,140.71,0.85,-1.88,-2.44,-1.68,-2.29,-0.17,-178.29,-167.47,-14.43
"3221","台嘉碩",29.07,229.65,253.75,195.97,34.78,4.49,81.29,2.82,129.43,2.43,0.78,4.86,6.69,14.10,6.09,1.25,47.17,163.27,5.03
"3224","三顧",49.22,910.57,183.70,147.44,2.82,4.85,75.25,10.51,34.72,38.48,2.23,0.51,0.42,1.74,0.08,0.05,-5.71,-228552.63,-541.51
"3226","龍鋒",24.46,635.41,345.38,306.00,0.00,4.05,90.12,8.66,42.14,7.91,0.94,19.78,25.61,33.20,18.22,3.12,79.23,212.11,24.47
"3227","原相",17.02,2267.93,541.06,509.06,141.29,5.80,62.93,5.01,72.85,17.59,0.65,4.32,5.08,26.90,6.54,2.40,69.37,67.57,4.73
"3228","金麗科",26.99,327.70,292.76,161.39,-54.34,1.75,208.57,0.67,544.77,1.98,0.50,-10.79,-13.94,-9.24,-21.31,-0.93,5.37,9.67,1.38
"3230","錦明",40.45,177.24,142.89,122.31,0.42,1.86,196.23,7.81,46.73,1.70,0.68,-2.20,-5.52,-1.21,-4.83,-0.74,29.50,141.27,7.52
"3232","昱捷",33.23,2173.97,295.76,252.14,11.45,4.60,79.34,5.03,72.56,40.74,1.13,0.88,1.13,3.36,0.63,0.14,27.01,459.08,1.47
"3234","光環",47.38,203.08,240.13,159.58,9447.79,5.53,66.00,4.11,88.80,3.83,1.32,22.96,39.93,87.74,17.22,8.04,93.56,74.39,17.91
"3236","千如",44.72,302.96,198.44,138.53,23.62,6.01,60.73,4.59,79.52,6.11,1.28,4.94,8.46,17.88,3.78,1.11,35.23,144.22,11.31
"3252","海灣",67.22,23238.55,85.43,25.11,717.35,71.14,5.13,0.05,7300.00,4.93,0.03,8.97,24.64,150.91,234.29,14.15,0.00,0.00,0.00
"3259","鑫創",11.78,384.52,583.00,446.69,-680.27,8.34,43.76,2.89,126.29,3.03,0.63,-21.45,-24.23,-20.89,-34.01,-2.17,-92.98,-80.76,-11.45
"3260","威剛",63.75,225.74,121.28,84.37,1.16,9.30,39.24,5.02,72.70,4.16,0.97,0.25,-0.61,0.84,-0.24,-0.22,18.53,47.59,8.97
"3264","欣銓",28.86,127.84,221.31,213.05,21.41,5.55,65.76,"NA","NA",0.64,0.44,7.61,10.51,24.72,16.66,2.14,175.91,94.47,8.89
"3265","台星科",58.20,169.50,486.00,471.30,-1.93,4.98,73.29,45.63,7.99,0.63,0.36,-2.50,-7.30,-14.70,-9.30,-1.20,153.84,279.81,6.65
"3268","海德威",29.17,708.39,287.28,272.00,0.66,1.96,186.22,17.90,20.39,9.37,0.96,-1.68,-2.94,-3.91,-2.00,-0.50,5.72,"NA",1.58
"3272","東碩",45.85,831.86,249.32,198.89,49.90,4.25,85.88,5.64,64.71,13.63,1.09,9.27,16.79,58.12,7.84,4.39,39.15,159.58,11.84
"3276","宇環",39.78,339.54,153.45,146.74,6.88,2.11,172.98,21.13,17.27,3.13,0.61,1.68,2.57,3.09,2.44,0.29,7.17,88.26,0.61
"3284","太普高",21.95,340.43,573.98,482.09,16.15,2.88,126.73,6.15,59.34,2.50,0.77,6.53,9.12,11.13,8.09,1.29,180.74,202.04,14.87
"3285","微端",30.92,607.02,301.69,227.52,0.00,5.16,70.73,5.29,68.99,14.24,1.59,7.12,10.31,19.25,4.33,1.33,31.03,73.46,6.31
"3287","廣寰科",16.38,451.31,501.22,396.52,0.00,4.95,73.73,2.82,129.43,3.45,0.62,-4.80,-5.81,-7.86,-7.70,-0.65,-28.76,33.10,-7.10
"3288","點晶",64.85,1463.54,186.06,47.39,-1340.58,3.30,110.60,0.65,561.53,8.87,0.39,-13.49,-37.02,-19.99,-0.37,-1.99,-11.33,-0.87,-8.21
"3289","宜特",52.08,185.32,127.57,114.48,18.84,3.35,108.95,2.00,182.50,1.40,0.58,7.99,15.07,70.24,13.06,7.01,28.60,87.91,5.28
"3290","東浦",48.87,196.95,161.49,137.24,6.46,2.52,144.84,7.36,49.59,2.97,0.79,3.28,5.67,13.41,3.42,0.97,46.41,48.50,22.85
"3293","鈊象",18.09,217.82,361.25,332.18,"NA",5.30,68.86,2.16,168.98,1.45,0.56,9.26,11.12,50.81,15.92,4.40,87.44,76.36,9.01
"3294","英濟",52.17,200.18,136.30,114.84,7.32,3.33,109.60,8.41,43.40,4.42,1.11,1.30,1.87,10.85,0.82,0.60,11.63,131.75,6.79
"3297","杭特",14.91,193.18,379.10,314.06,268.72,6.45,56.58,2.50,146.00,1.24,0.55,3.05,3.60,10.83,5.73,0.87,-33.47,"NA",-11.82
"3303","岱稜",41.69,172.43,196.58,149.98,9.39,3.47,105.18,5.57,65.52,1.80,0.75,5.11,8.53,16.45,5.62,1.53,64.47,167.59,14.36
"3306","鼎天",16.18,13236.71,425.94,389.82,7023.00,11.84,30.82,11.53,31.65,125.00,0.79,3.15,3.84,11.10,4.31,1.11,41.27,140.75,3.94
"3310","佳穎",61.07,3587.31,156.93,26.15,9.24,5.97,61.13,0.22,1659.09,20.66,0.22,3.30,7.60,11.21,12.81,1.00,5.13,-78.08,5.31
"3313","斐成",33.83,403.80,228.92,200.62,-14.53,2.58,141.47,7.85,46.49,5.92,0.98,-9.74,-16.82,-24.20,-12.35,-1.93,55.98,182.29,16.91
"3317","尼克森",40.57,448.17,207.21,146.48,-2.94,2.36,154.66,2.60,140.38,6.02,0.85,-0.95,-1.82,-3.42,-1.33,-0.44,14.85,574.46,10.00
