"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"6584","南俊國際",63.61,106.27,118.63,90.82,-0.12,4.51,80.93,10.04,36.35,0.60,0.45,0.21,-0.90,-4.72,-0.75,-0.21,11.83,46.65,1.17
"6588","東典光電",18.11,260.74,785.11,728.79,46.95,3.90,93.58,2.99,122.07,1.02,0.38,6.57,8.24,24.69,16.67,2.23,166.10,78.26,7.11
"6589","台康生技",50.31,172.42,232.70,195.19,"NA",7.92,46.08,1.98,184.34,0.57,0.30,-28.10,-55.40,-50.46,-97.19,-5.41,"NA","NA","NA"
"6590","普鴻",25.53,2787.01,329.78,299.58,131.11,2.37,154.00,0.60,608.33,23.81,0.69,13.70,18.60,53.24,19.63,4.09,46.75,75.08,4.83
"6593","台灣銘板",46.05,140.20,195.27,113.07,-0.66,8.73,41.80,4.15,87.95,1.04,0.64,-0.23,-0.98,-2.74,-0.87,-0.23,0.00,102.43,0.00
"6596","寬宏藝術",32.93,255.45,208.22,174.19,209.61,19.32,18.89,2.06,177.18,3.09,0.89,7.97,11.80,38.04,8.91,3.01,72.86,102.66,12.25
"6597","立誠",60.25,105.88,84.34,57.40,-6.19,3.13,116.61,4.54,80.39,1.96,0.82,-5.06,-13.91,-13.83,-7.28,-1.49,12.78,46.30,7.74
"6603","富強鑫",64.08,262.73,169.86,101.03,2.31,2.39,152.71,1.98,184.34,2.10,0.53,-0.24,-0.37,2.23,-0.26,0.08,11.35,76.60,5.80
"6609","瀧澤科",48.81,261.06,188.48,123.53,7.56,2.89,126.29,1.67,218.56,2.40,0.53,0.68,0.91,9.21,0.90,0.27,-0.29,64.67,-2.42
"6612","奈米醫材",17.17,698.28,667.13,562.52,76.58,4.58,79.69,1.40,260.71,2.96,0.44,4.56,5.45,21.87,10.18,1.55,112.70,81.48,7.87
"6613","朋億*",52.03,1957.56,203.00,159.84,27827.46,2.61,139.84,3.46,105.49,28.27,0.84,8.91,17.81,168.76,10.51,12.01,10.00,95.44,-4.40
"6615","慧智",26.44,931.64,312.23,258.34,19.96,8.04,45.39,7.38,49.45,7.02,0.66,4.85,6.40,17.53,6.99,1.63,55.26,60.26,1.41
"6616","特昇-KY",60.30,186.02,135.42,72.71,8.82,8.47,43.09,4.62,79.00,5.61,1.41,6.89,14.13,36.69,4.34,2.60,6.67,19.65,"NA"
"6624","萬年清",57.92,194.10,252.34,248.80,-5.14,4.56,80.04,0.29,1258.62,0.87,0.35,-1.82,-4.74,-10.63,-6.19,-0.86,-6.71,0.90,-8.20
"6629","泰金-KY",47.28,219.50,220.89,165.50,29.26,5.81,62.82,3.38,107.98,2.48,0.87,15.89,27.91,72.04,17.68,6.61,70.80,83.01,16.81
"6637","醫影",45.78,190.59,178.42,143.64,36.92,5.26,69.39,8.63,42.29,1.82,0.80,14.53,24.82,57.40,17.60,4.48,100.65,100.87,13.84
"6640","均華",51.09,330.09,186.29,129.26,9.75,2.65,137.73,1.83,199.45,340.05,0.50,2.85,4.76,20.67,5.07,1.57,12.43,89.54,0.57
"6642","富致",24.54,2033.94,404.67,340.18,299.53,3.67,99.45,2.56,142.57,14.00,0.59,11.63,14.93,30.71,18.52,2.57,84.30,317.96,8.97
"6643","M31",14.10,862.76,616.62,610.20,285310.61,4.44,82.20,"NA","NA",5.70,0.58,19.21,21.84,120.21,32.85,10.34,156.36,148.66,9.46
"6649","台生材",18.07,221.91,821.30,758.77,-52.34,3.64,100.27,0.59,618.64,0.10,0.03,-8.85,-11.15,-16.78,-306.31,-1.68,-154.82,-97.64,-8.09
"6651","全宇昕",48.50,2001.70,214.27,154.41,36.17,3.03,120.46,3.23,113.00,38.36,1.23,12.65,23.92,51.11,10.00,4.17,12.00,88.37,4.68
"6654","天正國際",33.54,775.18,314.34,253.95,28.53,1.50,243.33,1.81,201.65,4.05,0.39,5.21,8.25,24.79,12.82,1.98,3.66,83.82,-3.62
"6661","威健生技",29.85,1210.47,276.22,255.33,57.78,4.94,73.88,10.51,34.72,17.18,1.02,7.74,11.83,17.94,7.48,1.44,43.52,185.18,4.74
"6662","樂斯科",20.63,266.90,602.32,560.67,103.22,6.62,55.13,6.07,60.13,2.03,0.53,11.31,13.43,30.65,21.01,2.45,140.17,75.85,4.27
"6664","群翊",49.77,370.67,155.43,97.31,324.30,5.78,63.14,0.95,384.21,2.93,0.45,8.78,16.71,69.48,19.26,5.65,20.65,136.49,7.55
"6667","信紘科",47.08,198.28,269.66,108.39,12.44,6.40,57.03,0.78,467.94,1.78,0.72,4.43,8.48,22.33,5.65,2.04,27.40,21.77,2.42
"6679","鈺太",22.45,2893.34,431.06,278.88,927.61,5.01,72.85,2.65,137.73,38.17,1.31,21.41,26.61,93.17,16.26,7.57,69.46,53.60,11.08
"6680","鑫創電子",29.33,463.26,441.18,394.64,6464.86,14.46,25.24,6.25,58.40,4.16,0.76,7.74,10.38,25.97,9.98,2.16,55.84,96.97,2.25
"6683","雍智科技",26.92,465.26,287.71,182.78,3152.19,6.15,59.34,1.09,334.86,3.76,0.65,17.65,22.82,152.46,27.18,12.34,49.86,69.57,11.55
"6684","安格",24.67,1540.76,448.70,361.13,116.11,14.96,24.39,3.28,111.28,12.59,0.77,9.29,11.92,23.45,11.90,2.00,62.72,133.94,15.47
"6690","安碁資訊",33.55,3122.07,234.48,233.75,428.96,6.60,55.30,"NA","NA",46.89,0.91,9.32,13.74,60.86,10.23,4.93,115.20,144.24,47.11
"6692","進能服",47.44,1717.99,211.23,192.23,140.01,11.05,33.03,"NA","NA",31.76,1.16,13.11,24.69,64.62,11.25,5.10,15.53,142.57,3.48
"6693","廣閎科",55.64,261.69,172.66,95.01,14.61,6.71,54.39,3.88,94.07,6.73,1.08,3.90,7.30,7.20,3.40,0.72,23.10,-6.40,11.30
"6697","東捷資訊",43.73,3248.39,170.31,156.03,44.28,1.90,192.10,27.52,13.26,65.88,1.30,7.10,12.50,27.47,5.35,2.41,61.27,110.92,46.55
"6703","軒郁",17.44,8934.98,546.53,491.13,275.23,11.05,33.03,5.42,67.34,120.13,1.51,13.78,17.09,73.04,9.10,6.58,91.05,96.45,2.59
"6708","天擎",30.69,2961.50,385.74,322.70,18.54,8.27,44.13,2.26,161.50,22.02,0.60,3.67,4.86,6.51,5.78,0.56,14.03,301.52,3.93
"6712","長聖",9.04,633.58,1187.08,1073.13,"*****",8.18,44.62,3.76,97.07,0.84,0.10,-12.00,-13.13,-24.41,-151.32,-1.91,"*****","*****","*****"
"6716","應廣",25.37,8126.11,437.66,405.68,147.94,5.19,70.32,6.28,58.12,79.75,1.04,18.09,24.73,61.10,17.24,5.41,112.06,148.15,19.38
"6720","久昌",25.75,2461.07,378.42,292.26,29.04,3.91,93.35,2.96,123.31,21.34,1.01,4.34,5.34,8.47,4.15,0.63,0.18,7.41,0.00
"6721","信實",48.86,779.64,166.91,165.26,101.23,7.42,49.19,"*****","*****",47.63,2.86,15.20,29.43,68.87,5.27,5.47,35.18,139.24,17.24
"6727","亞泰金屬",65.64,266.97,130.98,82.62,4347.85,3.71,98.38,1.29,282.94,4.41,0.60,4.70,12.98,46.54,7.59,4.02,15.83,68.87,22.61
"6728","上洋",28.95,304.23,310.50,123.82,31.29,13.02,28.03,1.73,210.98,4.87,1.36,10.43,16.50,54.90,7.38,5.22,98.47,9.61,12.55
"6732","昇佳電子",26.80,1968.89,381.64,355.92,1125.90,10.67,34.20,7.74,47.15,31.97,1.11,28.85,42.86,316.91,25.78,28.81,125.57,212.19,21.63
"6733","博晟生醫",2.86,11903.55,2992.10,2813.06,-2911980.00,4.78,76.35,0.10,3650.00,0.19,0.00,-21.85,-22.51,-15.83,-10451.83,-1.67,-640.98,-385.28,-18.72
"6735","美達科技",32.81,187.18,342.11,288.36,773.85,7.22,50.55,1.13,323.00,1.80,0.49,17.03,23.29,43.03,34.90,3.37,107.49,76.88,16.15
"6741","91APP*-KY",53.03,5518.92,177.01,176.49,390.98,25.11,14.53,"NA","NA",52.19,0.54,12.72,27.35,47.45,23.68,1.92,39.97,"NA",42.25
"6747","亨泰光",16.39,294.75,432.62,399.90,140.08,7.48,48.79,5.46,66.84,2.06,0.63,14.56,17.32,64.67,22.98,5.68,141.73,166.28,7.80
"6751","智聯服務",39.86,7034.60,265.22,254.58,46.50,2.42,150.82,19.59,18.63,346.52,1.59,5.07,10.89,30.17,3.13,2.76,68.29,-83.13,39.59
"6752","叡揚",44.37,339.51,171.61,148.78,746.14,8.07,45.22,83.16,4.38,4.86,0.93,10.40,19.63,54.42,11.15,4.88,39.54,359.27,22.96
"6761","穩得",47.52,732.43,203.98,155.45,17.36,3.47,105.18,5.20,70.19,17.56,1.36,9.09,15.82,54.22,6.28,4.31,16.31,61.64,3.51
"6762","達亞",34.36,851.41,728.05,690.69,13206.65,7.43,49.12,5.74,63.58,2.97,0.50,18.14,27.27,119.75,35.68,10.67,157.16,120.59,9.35
"6763","綠界科技*",88.41,4096.46,113.95,113.88,85.46,91.69,3.98,"*****","*****",117.78,0.36,6.45,53.16,175.11,17.81,14.11,25.48,326.19,132.77
"6767","台微醫",12.75,645.93,672.90,532.71,-22.09,3.98,91.70,0.73,500.00,1.87,0.25,-3.14,-3.77,-5.04,-13.02,-0.51,-119.31,-182.09,-13.29
"6785","昱展新藥",0.89,9480.76,14330.55,14143.93,"NA","NA","NA","NA","NA",9.48,0.15,-35.60,-36.17,-25.05,-23799.50,-2.86,"NA","NA","NA"
"6788","華景電",25.92,434.53,460.90,366.96,224.91,4.41,82.76,1.78,205.05,4.05,0.76,16.83,22.91,64.49,21.91,5.19,138.47,118.22,15.63
"6791","虎門科技",42.51,436.58,220.78,208.88,49.20,6.28,58.12,7.96,45.85,5.75,0.88,12.91,23.84,42.12,14.22,3.66,38.51,140.10,10.06
"6803","崑鼎",42.84,222.27,164.96,157.25,3862.38,4.42,82.57,"NA","NA",1.79,0.58,8.95,16.57,185.77,14.94,12.53,12.84,93.07,-9.11
"6804","明係",60.51,105.47,107.18,43.05,4.77,4.67,78.15,4.37,83.52,1.52,0.81,1.95,4.13,13.11,1.89,1.04,7.26,43.11,3.18
"6811","宏碁資訊",78.01,21238.49,125.71,116.56,883.34,3.79,96.30,23.36,15.62,1157.67,1.72,7.36,34.49,79.64,4.27,6.35,32.37,203.31,86.89
"6821","聯寶",41.47,460.67,275.36,257.60,12.08,2.98,122.48,9.44,38.66,2.99,0.49,3.27,5.28,10.42,6.16,0.96,25.39,147.81,1.43
"6823","濾能",20.63,1824.52,418.15,219.98,368.47,7.38,49.45,4.07,89.68,41.43,1.98,25.55,35.59,83.09,12.89,4.81,62.90,77.10,2.49
"6829","千附精密",30.36,149.43,125.85,63.92,116.88,6.60,55.30,2.11,172.98,0.71,0.47,4.21,5.99,7.99,8.80,1.12,7.11,455.58,1.42
"6843","進典",41.71,282.93,174.77,115.71,32.21,3.35,108.95,1.91,191.09,2.97,0.72,7.13,12.19,31.17,9.57,2.16,49.24,195.99,16.97
"6855","數泓科",23.82,389.09,330.86,261.32,2947.81,6.61,55.21,2.75,132.72,3.66,0.76,15.36,20.45,63.30,20.09,3.92,63.01,115.29,12.83
"6859","伯特光",32.87,175.55,307.19,254.92,38.64,4.15,87.95,5.00,73.00,1.31,0.67,8.73,13.28,53.72,12.78,4.86,140.67,100.95,18.17
"6865","偉康科技",58.44,1589.14,175.01,173.54,8225.88,6.60,55.30,"NA","NA",54.91,1.43,21.62,52.90,101.09,14.90,6.48,35.44,"NA",37.27
"6874","倍力",60.28,4605.22,160.59,125.41,23.07,3.67,99.45,13.53,26.97,216.52,1.92,11.02,26.44,50.02,5.50,3.31,-27.62,65.76,-37.81
"7402","邑錡",22.76,3643.96,416.83,230.53,79.13,8.33,43.81,2.06,177.18,44.43,1.02,4.31,7.68,11.48,5.92,1.05,70.58,71.91,14.79
"7556","意德士科技",16.08,391.20,504.74,472.69,56.95,5.09,71.70,5.61,65.06,2.27,0.56,10.39,13.75,44.97,18.13,3.96,62.58,80.34,5.33
"8024","佑華",10.06,439.05,1013.12,917.18,0.00,5.27,69.25,5.06,72.13,3.18,0.65,-5.51,-6.17,-9.11,-8.72,-0.84,36.19,120.89,2.70
"8027","鈦昇",42.12,364.54,203.37,125.19,22.80,4.08,89.46,2.17,168.20,4.75,0.87,6.84,11.98,22.21,7.55,2.00,-4.25,-10.64,-1.70
"8032","光菱",38.47,1883.13,205.10,146.22,18.74,3.41,107.03,4.64,78.66,33.50,1.21,2.85,4.04,17.33,2.21,1.26,14.68,176.47,4.05
"8034","榮群",12.91,20717.20,805.21,513.10,20.76,2.00,182.50,1.07,341.12,95.08,0.42,1.66,1.86,2.20,3.77,0.19,108.87,71.32,13.03
"8038","長園科",47.53,252.64,845.63,561.90,-5.26,2.04,178.92,0.83,439.75,0.33,0.12,-4.45,-9.76,-10.47,-43.13,-1.00,"NA",1.23,"NA"
