"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"6209","今國光",26.57,205.46,219.24,152.32,-9.44,4.88,74.79,4.55,80.21,2.00,0.75,-2.24,-3.29,-6.67,-3.25,-0.70,16.51,155.93,2.69
"6213","聯茂",61.99,301.88,143.35,121.71,44.74,2.45,148.97,8.52,42.84,6.04,1.13,11.95,29.12,102.13,10.35,8.13,16.11,71.73,5.69
"6214","精誠",37.54,731.41,195.14,142.18,66.78,5.90,61.86,5.07,71.99,11.48,1.06,8.84,13.58,81.80,8.21,7.31,18.67,57.33,1.09
"6215","和椿",44.41,560.54,215.32,157.58,6.06,3.17,115.14,2.23,163.67,3.90,0.73,2.63,4.12,8.66,3.14,0.60,29.27,86.58,10.87
"6216","居易",11.03,694.64,828.91,754.90,"*****",6.19,58.96,3.44,106.10,4.11,0.54,8.90,10.09,21.45,16.45,1.80,96.15,94.30,0.14
"6224","聚鼎",27.24,216.02,321.59,271.85,82.55,3.56,102.52,2.22,164.41,1.61,0.59,13.29,17.17,57.62,22.23,4.60,89.30,108.86,6.35
"6225","天瀚",52.23,1415.66,290.77,112.91,45905.26,25.08,14.55,3.55,102.81,14.52,0.71,-46.76,-113.34,-0.73,-70.73,-0.07,-246.70,-4387.20,-118.75
"6226","光鼎",38.12,279.51,193.98,126.25,9.90,3.48,104.88,1.69,215.97,1.79,0.46,7.08,11.07,17.79,14.14,1.32,-19.77,0.68,-0.07
"6230","尼得科超眾",44.14,281.47,197.13,159.56,1076.39,3.22,113.35,6.39,57.12,5.33,1.18,9.91,17.76,112.09,8.17,8.12,38.35,105.59,12.37
"6235","華孚",55.38,135.66,92.21,74.97,-12.51,2.11,172.98,6.26,58.30,1.67,0.51,-10.93,-24.86,-30.13,-23.04,-3.00,0.00,11.10,0.00
"6239","力成",48.76,147.57,212.42,192.30,25.56,5.19,70.32,13.98,26.10,1.10,0.63,6.80,12.74,109.19,8.78,7.52,88.00,93.51,8.53
"6243","迅杰",42.12,5691.28,231.52,165.48,-20.00,3.14,116.24,2.33,156.65,53.75,0.61,-6.89,-12.21,-8.70,-11.65,-0.87,-69.60,-234.44,-44.02
"6257","矽格",45.37,169.87,194.46,187.83,26.71,3.59,101.67,41.67,8.75,1.02,0.45,7.35,12.31,49.23,15.56,3.26,52.68,98.25,7.74
"6269","台郡",36.36,359.40,319.06,287.39,46.39,3.74,97.59,5.80,62.93,4.02,0.84,10.39,15.33,119.59,12.11,10.02,-1.75,87.68,-5.30
"6271","同欣電",18.08,186.68,368.40,298.13,126.17,5.70,64.03,4.57,79.86,1.50,0.60,6.01,7.19,56.98,9.99,4.49,106.77,92.28,6.34
"6277","宏正",35.00,238.00,214.00,157.00,31.00,7.41,49.25,1.95,187.17,2.52,0.73,10.96,16.30,75.14,14.44,6.05,37.00,65.00,-4.67
"6278","台表科",61.58,229.33,142.56,122.27,35.41,3.00,121.66,10.70,34.11,5.65,1.21,6.66,16.67,93.22,5.35,6.96,27.95,132.28,24.12
"6281","全國電",67.94,1202.38,139.68,61.80,21.78,118.18,3.08,6.21,58.77,51.77,2.89,7.61,18.19,55.76,2.51,4.44,52.96,119.08,24.89
"6282","康舒",55.92,277.16,156.43,115.83,46.46,3.93,92.87,4.27,85.48,5.49,0.98,8.09,17.73,56.52,7.98,2.87,8.93,51.30,2.85
"6283","淳安",15.51,576.49,534.34,512.77,23.00,3.92,93.11,8.81,41.43,4.37,0.50,1.14,1.29,2.66,2.17,0.03,15.10,18.17,2.14
"6285","啟碁",53.06,230.78,152.10,106.16,19.46,4.88,74.79,6.83,53.44,9.29,1.84,4.56,9.13,48.27,2.35,3.76,28.41,68.25,13.16
