"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",42.08,490.13,145.51,115.57,39.02,5.10,71.56,9.57,38.14,7.15,0.96,9.64,16.69,52.49,9.84,4.63,13.77,132.35,1.00
"1259","安心",39.70,440.08,210.09,202.38,"NA",61.41,5.94,81.77,4.46,13.47,1.72,5.20,8.54,60.41,3.02,5.23,34.80,162.75,0.08
"1264","德麥",16.52,346.68,488.59,361.27,86698.17,4.58,79.69,4.73,77.16,5.02,1.22,17.14,20.67,196.09,13.99,13.41,108.25,108.91,6.33
"1268","漢來美食",40.65,272.28,168.47,134.93,206.39,29.58,12.33,25.27,14.44,5.09,1.15,9.17,17.14,85.69,7.94,7.47,21.86,122.11,2.97
"1336","台翰",33.94,163.38,156.68,114.85,11.71,4.98,73.29,7.87,46.37,2.23,0.94,4.61,7.27,16.98,4.42,1.44,20.30,57.76,6.14
"1565","精華",37.32,173.01,213.37,177.54,188.89,7.32,49.86,5.52,66.12,1.73,0.74,20.03,30.07,389.76,24.76,31.52,81.19,105.31,4.90
"1569","濱川",58.67,132.48,115.94,75.83,7.49,2.95,123.72,3.49,104.58,1.71,0.68,5.96,12.11,36.59,7.32,2.61,20.57,42.46,12.03
"1570","力肯",22.75,312.12,336.86,230.76,9629.30,6.07,60.13,2.92,125.00,3.53,0.91,8.64,11.41,18.69,9.46,1.48,80.70,188.37,13.41
"1580","新麥",38.13,291.06,229.87,159.31,11729.66,6.03,60.53,4.08,89.46,6.47,1.43,17.21,27.48,162.82,11.85,11.01,50.26,122.61,4.19
"1584","精剛",57.55,151.95,127.37,65.77,-2.63,7.69,47.46,2.46,148.37,0.87,0.44,-2.86,-7.77,-9.74,-8.36,-0.96,-5.71,73.24,-1.98
"1586","和勤",49.65,192.70,139.69,87.72,485.24,2.94,124.14,5.06,72.13,2.58,0.78,1.75,2.15,12.23,1.36,0.42,11.03,38.66,5.86
"1591","駿吉-KY",41.07,109.57,111.58,54.45,1.47,6.72,54.31,3.49,104.58,1.16,0.67,1.18,0.52,1.01,0.45,0.06,-35.21,32.49,-13.76
"1593","祺驊",23.49,340.42,300.98,245.05,88.09,4.23,86.28,3.87,94.31,3.40,0.81,11.17,14.28,46.05,13.70,3.77,52.21,111.17,3.70
"1595","川寶",38.42,445.01,256.04,182.78,3205.49,2.58,141.47,1.62,225.30,2.43,0.44,9.72,14.18,71.76,21.67,7.12,24.14,104.66,6.49
"1599","宏佳騰",31.91,210.24,205.74,175.84,0.00,18.40,19.83,11.84,30.82,3.88,1.19,7.23,10.51,29.44,6.07,2.39,57.26,115.28,16.30
"1742","台蠟",33.42,263.76,192.21,84.97,3.61,9.38,38.91,1.34,272.38,1.38,0.49,1.36,1.55,1.90,2.10,0.12,-2.74,-0.88,-0.46
"1777","生泰",35.97,150.12,165.16,48.35,46.10,6.43,56.76,1.96,186.22,1.18,0.49,4.31,5.91,25.70,8.60,1.99,7.39,60.87,-5.20
"1781","合世",31.48,294.34,184.16,121.55,0.00,7.53,48.47,3.41,107.03,3.82,0.88,-11.19,-15.97,-15.71,-12.73,-1.44,8.45,150.23,3.94
"1784","訊聯",24.84,310.58,488.72,437.84,0.00,3.34,109.28,2.02,180.69,1.28,0.38,0.09,0.12,0.23,0.24,-0.13,-15.11,36.57,-1.35
"1785","光洋科",75.94,175.72,154.97,36.70,1.59,9.31,39.20,2.08,175.48,2.08,0.82,1.80,2.74,4.17,0.74,0.33,11.51,52.66,4.35
"1788","杏昌",37.82,390.05,202.71,150.64,199.81,2.68,136.19,4.95,73.73,7.94,1.16,9.96,15.84,86.57,8.52,7.17,24.87,77.72,3.78
"1796","金穎生技",38.09,136.87,162.23,77.43,35.83,5.08,71.85,2.02,180.69,1.52,0.70,5.79,8.71,14.77,8.07,1.13,41.94,125.94,1.10
"1799","易威",17.62,428.71,529.02,505.22,-13683.31,9.00,40.55,15.54,23.48,1.26,0.28,-24.95,-30.07,-33.25,-87.46,-3.50,-194.82,-212.33,-14.29
"1813","寶利徠",23.57,265.83,204.51,160.87,-1314.68,4.93,74.03,2.38,153.36,1.05,0.30,-1.42,-1.87,-5.75,-4.95,0.05,30.33,124.86,2.20
"1815","富喬",43.69,139.28,226.47,175.51,7.65,5.05,72.27,5.98,61.03,0.56,0.37,4.32,6.74,13.40,10.10,1.16,79.45,165.81,5.98
"2035","唐榮公司",68.66,404.36,103.97,20.50,3.94,49.45,7.38,5.35,68.22,5.05,0.96,1.60,4.00,6.95,1.29,0.69,0.00,94.60,0.00
"2061","風青",47.86,355.74,177.07,137.65,553.70,3.10,117.74,6.37,57.29,6.61,1.12,3.17,4.80,4.56,2.42,0.50,-2.05,34.56,-1.57
"2063","世鎧",52.33,148.54,143.43,67.77,17.34,5.00,73.00,1.80,202.77,1.60,0.69,9.20,17.94,31.91,12.51,2.63,0.86,24.21,-4.15
"2064","晉椿",59.40,127.71,109.29,79.09,2.10,4.47,81.65,5.53,66.00,1.88,0.71,140.00,164.00,443.00,100.00,0.41,-9.84,62.27,-9.23
"2065","世豐",25.66,187.93,190.06,105.65,21.05,5.85,62.39,4.34,84.10,1.76,0.75,2.75,3.53,12.37,3.51,1.20,-0.59,64.86,-6.29
"2066","世德",49.96,280.08,155.89,122.75,39.61,5.58,65.41,2.67,136.70,3.63,0.70,9.23,16.07,56.53,12.76,4.67,11.38,93.76,-5.29
"2067","嘉鋼",64.11,113.41,101.24,64.54,-2.31,4.41,82.76,5.82,62.71,2.05,0.92,-2.50,-9.76,-9.09,-11.52,-1.38,13.07,49.11,6.59
"2070","精湛",49.88,194.11,166.57,80.43,23.01,3.27,111.62,0.93,392.47,1.55,0.13,7.06,12.97,38.55,12.84,3.11,10.80,33.87,3.49
"2221","大甲",42.29,198.70,223.87,111.15,26.69,3.64,100.27,1.64,222.56,2.23,0.75,7.44,12.95,25.86,9.66,2.14,49.43,136.21,10.69
"2230","泰茂",53.68,186.34,132.40,90.83,-1.41,3.28,111.28,2.35,155.31,1.91,0.53,-1.15,-3.45,-3.75,-3.05,-0.44,5.69,41.95,2.28
"2235","謚源",40.90,94.93,91.30,62.94,38.72,3.33,109.60,3.65,100.00,0.78,0.51,7.22,11.17,44.05,13.66,3.48,50.43,109.03,17.98
"2596","綠意",19.68,4811.05,484.18,142.01,100.04,8.86,41.19,0.39,935.89,25.23,0.45,12.93,16.23,38.77,28.57,2.72,46.36,59.03,0.65
"2641","正德",67.61,113.89,149.76,142.84,-5.10,41.05,8.89,47.98,7.60,0.23,0.17,-9.33,-31.13,-26.54,-66.44,-2.76,64.46,52.22,8.17
"2643","捷迅",45.56,560.20,234.72,223.45,124.59,5.32,68.60,"*****","*****",20.67,2.43,5.26,9.12,33.36,2.14,2.17,10.92,2.23,-2.15
"2718","全心投控",22.97,142.14,452.72,447.74,9.08,19.38,18.83,134.61,2.71,0.43,0.27,0.31,0.38,1.19,1.01,0.10,69.91,103.98,2.27
"2719","燦星旅",59.50,1481.73,149.25,115.54,0.00,73.56,4.96,245.34,1.48,117.70,3.13,-15.34,-34.45,-32.88,-4.89,-3.31,-22.38,-20.04,-23.25
"2724","藝舍-KY",95.86,68.08,36.96,23.13,-445.09,22.71,16.07,913.82,0.39,0.85,0.81,-15.60,-706.86,-34.57,-32.44,-4.05,14.52,42.72,6.26
"2726","雅茗-KY",50.27,406.73,218.36,198.36,36.72,60.89,5.99,9.48,38.50,10.71,1.38,10.95,23.28,64.02,7.67,5.02,21.69,57.59,2.18
"2729","瓦城",18.91,144.37,222.16,188.37,280.35,17.81,20.49,18.45,19.78,2.97,1.70,13.88,17.06,172.29,7.99,14.12,116.99,70.28,8.00
"2732","六角",42.88,207.29,137.17,116.90,26.91,11.36,32.13,10.12,36.06,4.56,1.32,2.55,16.84,62.84,7.42,5.02,37.90,79.52,12.10
"2734","易飛網",39.76,234.40,251.88,225.15,-21.80,26.25,13.90,148.26,2.46,6.77,1.49,-9.30,-17.69,-27.75,-6.48,-2.59,-18.07,164.83,-5.46
"2736","富野",42.49,126.96,210.25,202.24,39.51,55.11,6.62,78.08,4.67,0.45,0.29,-0.01,-0.80,-1.51,-1.63,0.89,34.71,39.09,3.65
"2740","天蔥",49.64,142.60,160.68,147.96,-25.16,10.31,35.40,46.85,7.79,2.91,1.63,-19.64,-37.29,-45.65,-12.46,-4.07,12.01,67.70,2.76
"2743","山富",57.25,817.12,138.05,106.72,"NA",24.25,15.05,"NA","NA",83.01,4.82,5.94,13.38,28.72,1.23,2.23,23.22,1.73,30.31
"2745","五福",67.17,431.41,132.62,78.90,"NA",18.83,19.38,"NA","NA",56.53,4.73,4.62,14.09,29.92,0.98,2.46,0.00,187.82,-1.58
"2916","滿心",24.02,471.74,397.49,144.84,54.61,5.03,72.56,1.12,325.89,6.15,1.08,6.14,8.14,16.00,5.57,1.32,36.77,114.19,3.71
"2924","宏太-KY",40.70,408.45,179.42,116.72,"NA",8.32,43.87,1.21,301.65,5.24,0.75,-7.64,-13.67,-28.98,-10.93,-2.85,3.17,59.80,-0.44
"2926","誠品生活",66.50,200.69,122.28,103.97,12859.47,6.84,53.36,6.09,59.93,3.37,0.86,8.66,25.49,109.42,9.88,8.92,25.64,94.15,8.63
"2937","集雅社",55.47,445.65,153.25,93.24,211.20,3.85,94.80,3.69,98.91,14.01,1.49,3.80,8.71,16.38,2.53,1.29,0.00,57.93,-2.65
"3064","泰偉",48.60,129.92,119.64,96.55,-4.96,7.10,51.40,0.25,1460.00,0.13,0.05,-9.34,-22.79,-10.97,-182.82,-1.17,-79.28,-812.26,-62.77
"3066","李洲",49.39,132.91,88.96,58.90,-0.27,2.84,128.52,1.90,192.10,0.85,0.34,-0.31,-2.39,-1.35,-2.52,-0.14,9.62,-2.22,2.37
"3067","全域",30.02,94.50,237.44,149.62,"NA",10.73,34.01,3.52,103.69,2.78,0.87,-7.10,-9.96,-7.51,-8.12,-0.75,"NA","NA","NA"
"3071","協禧",42.50,372.10,184.23,153.16,42.36,3.23,113.00,6.33,57.66,5.88,0.92,6.76,11.17,16.20,7.17,1.20,34.07,181.46,17.95
"3073","天方能源",43.71,157.94,238.63,230.67,-11.56,9.51,38.38,4.94,73.88,0.27,0.14,-6.78,-12.69,-8.28,-53.47,-0.68,-15.76,-18.80,-2.92
"3078","僑威",41.92,365.18,205.17,184.96,124.78,3.15,115.87,6.90,52.89,4.63,0.85,9.51,15.31,37.25,11.10,2.84,32.70,151.82,7.97
"3081","聯亞",8.12,335.09,834.09,763.50,"NA",6.06,60.23,4.66,78.32,1.89,0.50,16.13,17.59,87.37,32.16,7.27,229.19,112.14,0.45
"3083","網龍",13.97,13346.50,635.36,611.95,"NA","NA","NA","NA","NA",40.14,0.29,-5.20,-6.01,-7.10,-17.74,-0.73,-11.31,-284.92,-1.69
"3085","新零售",42.08,419.74,107.15,46.01,-660.98,8.83,41.33,3.50,104.28,4.80,0.71,-42.82,-68.19,-33.75,-49.73,-2.87,-38.24,-556.90,-24.36
"3086","華義",62.11,276.96,143.17,139.41,-16.97,7.28,50.13,47.75,7.64,1.00,0.20,-20.80,-65.47,-14.73,-109.64,-2.80,-19.38,-267.33,-9.79
"3088","艾訊",37.14,189.49,182.26,121.71,11203.19,7.40,49.32,3.54,103.10,4.39,1.12,26.32,44.73,128.90,23.26,11.71,24.73,56.30,0.66
"3093","港建*",18.46,353.25,443.03,391.66,0.00,4.54,80.39,7.83,46.61,3.19,0.74,2.30,2.87,5.63,3.30,0.68,37.02,81.52,-0.77
"3095","及成",83.08,143.40,148.45,134.04,174.92,3.37,108.30,10.10,36.13,1.48,0.68,-0.18,-5.85,0.87,-1.52,0.79,11.95,121.59,4.80
"3105","穩懋",30.31,220.83,330.62,250.51,60.07,13.04,27.99,3.32,109.93,1.23,0.54,11.86,17.43,107.15,21.74,9.34,116.08,140.15,9.02
"3114","好德",49.47,717.20,169.39,136.16,2059.88,3.12,116.98,13.07,27.92,18.66,1.39,4.73,8.68,18.35,3.23,1.43,4.56,-51.03,1.48
"3115","富榮綱",34.02,527.44,246.10,187.55,9.81,1.98,184.34,6.85,53.28,6.54,0.96,4.02,5.61,5.98,3.77,0.52,-4.63,48.23,-2.39
"3118","進階",28.68,354.63,266.62,223.40,0.00,5.17,70.59,4.85,75.25,3.92,0.79,9.70,13.17,25.61,11.83,2.11,34.81,133.83,1.38
"3122","笙泉",13.77,282.37,511.76,436.80,-17153.00,5.16,70.73,4.87,74.94,2.51,0.72,-2.51,-3.01,-4.36,-3.50,-0.40,5.09,50.45,0.00
"3128","昇銳",34.97,254.10,178.13,93.32,5.47,5.58,65.41,2.43,150.20,3.05,0.83,1.22,1.57,2.96,1.22,0.22,16.30,81.53,5.43
"3131","弘塑",44.68,313.31,172.67,128.25,62.00,6.69,54.55,1.59,229.55,2.42,0.50,9.21,17.52,192.51,17.73,15.22,31.44,109.00,5.91
"3141","晶宏",19.85,1526.16,414.38,298.99,"NA",6.41,56.94,2.27,160.79,17.47,0.98,7.36,9.18,16.79,7.49,1.45,79.31,150.32,14.67
"3147","大綜",54.02,865.41,168.11,139.71,31.85,4.01,91.02,12.51,29.17,39.16,2.32,6.29,12.91,23.61,2.63,1.99,20.75,172.26,22.06
"3152","璟德",11.49,336.75,649.50,620.24,"NA",5.64,64.71,6.62,55.13,2.20,0.53,22.67,25.64,146.88,42.71,12.15,230.65,125.96,5.00
"3162","精確",30.79,211.63,215.65,158.93,-13.98,4.71,77.49,3.76,97.07,1.68,0.69,-15.83,-31.32,-10.98,-24.41,-2.23,15.15,77.60,3.94
"3163","波若威",33.92,267.54,214.95,158.54,-0.07,4.31,84.68,3.10,117.74,3.72,0.91,-0.84,-1.48,-0.49,-1.05,-0.32,24.36,66.44,0.35
"3169","亞信",10.38,1665.37,769.26,672.78,0.00,7.64,47.77,5.80,62.93,14.44,0.78,11.30,12.54,21.59,14.07,1.86,177.34,116.89,12.78
"3171","炎洲流通",54.18,133.93,137.67,127.99,5.87,2.85,128.07,19.20,19.01,2.25,1.04,2.80,5.54,6.60,2.41,0.65,12.98,63.90,7.71
"3176","基亞",34.38,173.27,206.93,186.80,-40.19,5.55,65.76,2.14,170.56,0.19,0.09,-15.78,-23.19,-56.19,-170.13,-3.37,-52.23,-64.83,-11.55
"3178","公準",59.03,107.27,91.78,56.18,10.71,4.81,75.88,5.54,65.88,1.17,0.71,6.27,13.19,29.29,7.97,2.24,43.75,93.76,5.89
"3188","鑫龍騰",54.50,19239.08,181.39,23.15,7.94,1273.90,0.28,0.57,640.35,209.68,0.50,4.56,7.96,7.42,7.03,0.63,-53.50,-65.75,-64.12
