"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",39.91,439.69,166.53,121.51,48.15,5.44,67.09,8.24,44.29,8.11,1.09,8.38,12.43,49.00,7.50,4.01,11.14,92.45,-0.32
"1259","安心",59.24,439.79,156.51,132.12,10.03,58.14,6.27,88.32,4.13,12.82,1.45,4.33,8.06,54.95,2.68,5.02,51.78,171.32,0.20
"1264","德麥",17.82,366.71,455.07,338.65,31065.47,5.22,69.92,4.80,76.04,5.28,1.20,16.88,20.29,220.09,14.04,14.02,117.41,121.89,8.73
"1268","漢來美食",62.33,207.55,141.45,117.18,12.19,24.08,15.15,16.95,21.53,5.08,1.10,8.35,17.49,78.56,7.06,7.20,47.58,103.12,11.92
"1336","台翰",28.87,149.55,147.62,113.54,10.83,4.81,75.88,10.99,33.21,2.09,1.00,3.46,4.40,15.32,3.12,0.87,57.77,92.43,13.44
"1565","精華",31.52,162.86,233.20,158.53,102.89,7.89,46.26,3.66,99.72,1.54,0.75,15.15,22.25,320.28,20.28,25.53,80.21,93.45,0.41
"1569","濱川",59.52,133.73,126.44,74.30,2.98,3.27,111.62,2.83,128.97,1.59,0.67,2.77,4.31,14.90,2.55,1.01,24.21,50.61,11.42
"1570","力肯",16.27,370.19,490.11,353.79,1321.91,5.09,71.70,2.51,145.41,2.90,0.69,8.14,9.76,18.21,11.69,1.42,35.62,146.56,0.78
"1580","新麥",32.29,217.98,231.91,156.60,9621.54,7.11,51.33,3.78,96.56,4.36,1.27,15.95,23.68,136.88,12.37,10.02,85.09,119.38,14.51
"1584","精剛",60.29,168.19,141.03,64.29,-1.69,7.53,48.47,2.17,168.20,0.86,0.41,-2.02,-6.89,-7.04,-6.93,-0.72,12.48,194.39,3.98
"1586","和勤",62.41,128.60,115.29,68.26,216.63,3.02,120.86,3.34,109.28,1.66,0.62,1.36,1.43,4.68,0.96,0.26,30.53,48.50,12.00
"1591","駿吉-KY",36.57,119.32,117.18,59.87,3.15,6.39,57.12,4.13,88.37,1.70,0.89,2.11,1.99,5.23,1.36,0.24,59.03,331.22,12.83
"1593","祺驊",16.79,376.17,409.87,337.00,605.23,4.46,81.83,3.59,101.67,3.46,0.76,11.21,13.54,45.01,14.76,3.74,71.21,106.13,-0.64
"1595","川寶",35.95,455.41,247.20,139.00,1212.76,3.05,119.67,1.26,289.68,2.91,0.47,2.83,4.01,21.86,5.58,2.06,8.57,44.59,-0.94
"1599","宏佳騰",20.77,225.39,266.23,173.34,0.00,25.01,14.59,7.65,47.71,3.32,1.13,6.63,8.99,24.31,5.86,1.98,-7.62,92.59,-4.62
"1742","台蠟",40.41,377.42,201.74,147.11,8.13,5.93,61.55,4.77,76.51,4.11,0.88,4.54,7.26,7.45,4.65,0.88,-65.22,-208.02,-19.28
"1777","生泰",37.66,174.57,177.09,104.46,38.21,6.63,55.05,2.06,177.18,1.41,0.51,8.89,14.12,67.51,16.85,5.31,37.84,70.98,8.75
"1781","合世",53.36,218.79,117.22,78.35,0.00,6.85,53.28,2.97,122.89,3.12,0.72,-12.55,-24.80,-15.81,-18.15,-1.61,3.80,56.70,3.35
"1784","訊聯",25.77,304.99,394.59,329.88,43.30,3.39,107.66,0.86,424.41,1.50,0.44,1.20,1.57,5.19,2.69,0.14,1.34,-5.84,-0.60
"1785","光洋科",62.40,132.81,104.60,19.29,4.87,14.21,25.68,2.41,151.45,3.34,1.07,6.41,16.12,25.03,4.83,2.35,3.85,8.86,3.26
