"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",30.23,374.86,204.01,158.81,25.81,5.25,69.52,11.00,33.18,6.86,1.32,8.00,11.45,49.73,5.83,4.34,29.45,72.27,4.86
"1259","安心",60.94,155.07,66.77,62.24,4.74,45.23,8.06,67.48,5.40,3.72,0.98,1.14,2.31,19.88,0.93,2.05,39.49,156.26,0.13
"1264","德麥",24.04,213.14,260.37,169.50,19847.90,5.78,63.14,4.89,74.64,3.87,1.31,17.22,21.94,314.25,13.10,20.55,63.67,85.14,6.18
"1268","漢來美食",67.75,131.76,116.52,94.25,9.84,24.67,14.79,17.19,21.23,3.32,0.85,6.73,19.22,124.62,7.16,10.06,49.81,119.52,11.57
"1294","漢田生技",26.65,167.89,278.14,240.97,37.21,8.86,41.19,6.14,59.44,1.38,0.73,15.58,25.43,70.52,20.77,6.02,78.43,80.32,13.05
"1336","台翰",37.07,154.54,146.08,119.87,15.79,5.20,70.19,12.54,29.10,2.17,0.89,6.15,8.76,31.79,6.35,2.10,26.89,106.61,4.88
"1565","精華",19.04,201.61,343.21,248.97,106.90,6.28,58.12,3.00,121.66,1.33,0.56,9.51,11.77,187.02,16.42,14.82,76.67,128.48,5.91
"1569","濱川",52.78,136.31,123.61,91.72,-5.13,2.12,172.16,3.75,97.33,1.23,0.48,-4.02,-10.33,-23.40,-10.04,-2.57,5.28,99.95,0.21
"1570","力肯",15.14,595.01,522.04,378.36,54477.00,7.06,51.69,2.25,162.22,4.14,0.65,10.44,12.02,27.03,15.83,2.25,64.36,85.60,4.88
"1580","新麥",25.81,255.07,272.85,185.39,81027.17,8.85,41.24,3.44,106.10,3.86,1.13,17.26,23.14,217.01,15.19,13.59,71.83,112.35,5.46
"1584","精剛",35.44,199.13,230.20,77.43,8.82,3.71,98.38,1.04,350.96,1.30,0.44,5.21,6.95,15.45,10.68,1.57,-20.56,-28.64,-9.94
"1586","和勤",60.33,152.57,162.13,104.81,212.87,3.33,109.60,3.88,94.07,1.44,0.65,1.62,2.36,4.74,1.37,0.43,24.74,173.28,6.73
"1591","駿吉-KY",11.14,200.77,650.89,492.23,-36.39,15.97,22.85,2.54,143.70,0.85,0.41,-8.29,-9.62,-12.65,-20.64,-1.25,4.71,123.69,0.21
"1593","祺驊",31.27,230.23,222.52,174.80,16.43,8.39,43.50,3.76,97.07,1.41,0.55,5.03,6.90,33.41,8.55,1.70,32.98,47.58,2.38
"1595","川寶",35.37,349.89,249.66,142.56,2.20,3.02,120.86,0.49,744.89,1.04,0.21,0.08,-0.19,2.46,-0.57,-0.06,2.16,31.76,-0.49
"1599","宏佳騰",27.07,164.47,202.03,103.90,0.00,23.43,15.57,3.75,97.33,1.81,0.82,3.15,4.22,14.14,3.63,1.21,-9.30,116.10,-2.10
"1742","台蠟",24.83,174.47,238.31,229.70,3.78,14.20,25.70,4.84,75.41,0.28,0.08,3.80,6.14,8.93,35.77,0.89,110.57,54.13,24.06
"1777","生泰",10.23,183.50,607.52,371.53,217.08,8.43,43.29,1.51,241.72,0.89,0.44,13.73,16.13,109.49,31.27,8.82,283.69,83.10,14.47
"1781","合世",51.91,505.44,262.05,188.30,952.37,5.73,63.69,2.96,123.31,5.84,0.92,3.53,6.66,6.07,3.43,0.51,15.04,55.63,0.00
"1784","訊聯",24.09,486.88,506.19,477.82,80.94,4.19,87.11,4.81,75.88,2.31,0.44,2.58,3.39,19.25,5.72,1.65,44.68,133.18,5.01
"1785","光洋科",54.34,258.01,193.84,62.11,8.53,13.77,26.50,1.91,191.09,3.87,1.03,7.43,13.95,39.64,6.38,3.21,3.77,28.26,0.00
"1788","杏昌",39.48,279.59,177.17,127.62,33.95,2.98,122.48,4.56,80.04,3.49,0.85,7.74,12.02,95.86,8.83,8.08,36.37,83.24,5.07
"1796","金穎生技",31.25,160.66,306.85,178.19,-5.18,4.73,77.16,2.51,145.41,0.79,0.45,-1.63,-2.68,-6.62,-4.32,-0.54,6.03,98.60,-4.49
"1799","易威",50.90,436.28,193.10,123.68,-3.17,10.15,35.96,1.54,237.01,2.17,0.39,-4.94,-12.97,-7.24,-16.36,-0.81,-37.53,-200.39,-14.83
"1813","寶利徠",30.01,270.21,113.75,68.00,-477.16,3.55,102.81,1.84,198.36,1.06,0.29,-3.48,-5.78,-10.73,-13.78,-0.63,12.13,96.78,1.97
"1815","富喬",48.81,150.96,251.13,163.00,1.27,3.60,101.38,2.37,154.00,0.47,0.29,1.55,0.87,1.06,1.48,0.13,13.92,82.55,1.17
"2035","唐榮公司",78.40,423.84,123.35,12.08,-3.64,624.45,0.58,4.66,78.32,3.52,0.70,-3.71,-18.29,-22.04,-6.33,-2.20,0.00,59.80,0.00
"2061","風青",45.05,437.42,189.95,140.29,60.74,2.96,123.31,8.54,42.74,7.24,1.08,0.01,-2.55,-1.26,-1.23,-0.30,-41.24,-90.35,-28.72
"2063","世鎧",47.50,261.25,142.42,94.83,8.22,4.94,73.88,1.83,199.45,2.44,0.55,5.32,8.77,24.79,8.55,1.93,14.36,108.68,-5.86
"2064","晉椿",59.25,113.23,78.68,54.15,0.84,4.56,80.04,5.04,72.42,1.62,0.64,0.47,-1.24,-0.73,-0.78,-0.18,4.39,80.72,2.65
"2065","世豐",41.31,187.47,155.23,91.28,13.28,5.27,69.25,3.48,104.88,2.00,0.70,6.75,11.44,47.17,8.85,3.56,34.01,87.14,5.24
"2066","世德",43.36,418.45,246.14,138.24,9.97,6.40,57.03,1.43,255.24,5.37,0.75,8.03,12.82,76.65,9.59,6.16,21.70,109.10,3.91
"2067","嘉鋼",84.16,76.24,54.20,29.65,-2.98,4.41,82.76,4.03,90.57,1.11,0.54,-6.38,-42.05,-33.36,-14.72,-3.29,0.00,12.55,0.00
"2070","精湛",27.75,302.63,240.89,136.43,34.30,5.30,68.86,0.98,372.44,2.03,0.49,7.55,11.54,38.63,14.85,2.97,48.91,280.38,5.42
"2073","雄順",38.83,131.43,135.73,130.97,6.41,4.42,82.57,113.11,3.22,1.33,0.78,2.68,3.87,7.77,2.91,0.63,55.19,133.91,7.77
"2221","大甲",36.30,253.03,275.86,170.60,21.35,3.76,97.07,2.37,154.00,3.05,0.86,5.93,8.92,27.24,6.62,2.02,52.20,116.03,10.63
"2230","泰茂",25.96,362.89,475.10,390.56,43.44,6.72,54.31,7.74,47.15,4.62,1.08,20.04,28.65,63.43,16.30,6.10,84.91,65.55,9.02
"2235","謚源",14.25,243.44,349.66,252.90,100.98,2.85,128.07,2.96,123.31,1.03,0.36,5.97,73.35,32.88,16.20,2.67,55.44,147.93,-0.15
"2596","綠意",59.13,5428.74,164.87,38.01,381.08,3.49,104.58,0.18,2027.77,18.29,0.16,1.32,2.70,9.67,7.95,0.67,"NA","NA","NA"
"2641","正德",34.29,133.63,201.15,77.69,4.74,38474.42,0.00,1.03,354.36,0.19,0.14,6.73,8.18,19.47,35.23,1.92,119.35,29.70,6.93
"2643","捷迅",31.24,1274.46,334.13,276.28,29.46,3.66,99.72,"*****","*****",33.92,1.79,7.52,11.16,77.56,4.06,6.11,-1.85,128.86,-9.35
"2718","全心投控",18.98,73495.75,532.70,340.77,158.29,174.95,2.08,0.35,1042.85,543.02,0.78,57.10,81.69,375.28,72.77,35.33,317.02,263.64,61.62
"2724","藝舍-KY",21.76,8826.77,463.73,325.67,9125.63,9.72,37.55,5.81,62.82,89.78,0.75,30.60,51.64,40.55,32.78,2.96,122.03,3819.56,32.52
"2726","雅茗-KY",47.90,356.98,189.15,145.15,15.56,9.59,38.06,5.13,71.15,5.01,0.75,14.16,33.29,37.69,17.84,3.58,45.10,277.30,18.62
"2729","瓦城",54.08,156.54,79.13,54.78,24.96,14.46,25.24,12.08,30.21,2.47,1.11,6.57,13.47,110.18,5.68,9.01,58.17,121.45,10.65
"2732","六角",54.21,634.89,183.90,161.80,7.61,9.22,39.58,9.25,39.45,6.61,0.79,4.89,9.50,56.91,5.40,4.79,38.64,93.32,6.15
"2734","易飛網",40.36,548.19,223.32,160.57,12.00,24.97,14.61,23.40,15.59,10.04,1.34,3.99,8.46,7.75,2.77,1.00,-40.19,-51.38,-21.03
"2736","富野",45.36,141.34,93.50,82.56,-4.91,35.37,10.31,67.51,5.40,0.29,0.16,-4.26,-9.05,-20.61,-29.77,-1.77,-15.17,79.02,-2.30
"2740","天蔥",48.42,397.06,179.45,165.63,-35.56,25.56,14.28,49.60,7.35,7.09,1.10,-27.08,-51.01,-46.53,-25.11,-4.65,-123.67,0.00,-46.15
"2745","五福",60.83,917.25,154.20,126.02,950.14,19.16,19.05,"NA","NA",81.24,3.88,15.72,40.47,114.82,4.05,9.07,43.90,813.71,53.39
"2751","王座",49.98,536.48,169.96,154.67,26.93,12.86,28.38,15.58,23.42,13.37,1.81,10.85,22.33,41.35,5.83,4.55,82.14,252.33,23.79
"2752","豆府",42.52,358.29,211.28,198.92,56.55,13.08,27.90,34.14,10.69,7.67,1.62,18.82,32.42,193.26,11.44,15.66,102.08,121.78,9.64
"2754","亞洲藏壽司",67.75,205.17,52.40,46.82,3.10,44.91,8.12,93.07,3.92,2.71,1.03,3.06,6.51,28.89,2.01,2.31,78.72,117.40,14.03
"2755","揚秦",54.77,204.76,156.45,137.57,35.01,24.16,15.10,25.26,14.44,4.05,1.50,10.74,22.36,73.04,6.94,5.84,36.42,199.74,5.75
"2756","聯發國際",53.56,319.96,360.91,326.97,16.10,10.94,33.36,5.58,65.41,2.49,0.68,6.30,10.88,35.74,8.55,2.41,57.95,95.59,1.03
"2916","滿心",22.97,458.51,355.31,155.31,61.49,5.18,70.46,1.16,314.65,5.37,1.04,13.67,18.06,48.01,12.92,4.19,13.92,58.41,-8.79
"2924","宏太-KY",38.52,1584.41,247.12,214.89,-33.38,13.19,27.67,5.58,65.41,2.52,0.29,-11.80,-19.45,-12.36,-41.06,-1.67,6.21,40.86,2.46
"2926","誠品生活",96.19,107.56,87.58,58.63,110.07,6.35,57.48,3.10,117.74,0.62,0.40,0.79,2.07,5.82,0.17,0.27,31.80,223.76,7.16
"2937","集雅社",69.77,163.19,112.84,61.28,18.12,5.42,67.34,3.21,113.70,7.67,1.42,4.95,15.47,48.53,3.30,3.86,13.32,24.59,19.80
"2941","米斯特",40.94,710.32,233.95,153.64,85.55,7.31,49.93,2.50,146.00,16.96,1.30,9.25,16.04,40.38,6.07,3.31,20.34,113.81,-1.23
"2947","振宇五金",74.69,361.85,107.84,34.48,3.73,226.40,1.61,2.28,160.08,3.40,0.72,3.02,8.87,43.21,3.06,3.46,35.51,104.19,22.29
"2948","寶陞",54.33,4286.07,199.43,45.44,3.48,12.44,29.34,1.06,344.33,61.80,0.92,4.18,6.31,31.22,3.12,2.19,-15.34,-0.88,-19.75
"2949","欣新網",55.62,15414.36,188.08,129.97,14.88,6.78,53.83,3.98,91.70,641.01,1.94,3.83,7.51,47.60,1.82,3.34,-7.06,3.38,-9.78
"3064","泰偉",70.13,159.97,361.19,349.96,1.02,4.42,82.57,1.17,311.96,0.55,0.31,2.19,0.54,0.14,0.50,0.05,4.03,-568.81,0.25
"3066","李洲",29.63,586.74,176.20,169.77,14.45,4.36,83.71,0.76,480.26,0.97,0.13,6.86,9.53,13.53,49.05,1.30,-13.58,208.88,-4.22
"3067","全域",16.56,671.66,524.25,478.11,-33.00,6.88,53.05,2.61,139.84,1.03,0.13,-5.79,-7.80,-8.96,-46.23,-1.01,-165.41,-0.94,-11.33
"3071","協禧",51.50,398.35,155.84,132.88,9.62,3.80,96.05,5.97,61.13,4.40,0.63,4.33,7.88,18.91,6.08,0.81,9.28,106.31,1.87
"3073","天方能源",72.26,128.58,49.55,44.81,3.27,25.91,14.08,1.28,285.15,0.08,0.04,2.12,5.14,7.13,41.45,0.75,-29.01,-12.07,-13.44
"3078","僑威",30.63,384.85,314.06,260.05,184.19,3.22,113.35,4.15,87.95,4.49,0.82,12.19,18.82,76.43,14.84,5.62,69.24,97.75,7.15
"3081","聯亞",12.09,244.20,946.41,784.50,-10.48,5.61,65.06,2.76,132.24,0.67,0.28,-1.15,-1.43,-7.37,-4.51,-0.59,167.70,110.67,4.39
"3083","網龍",6.45,101877.18,813.01,799.84,"NA",7.96,45.85,"NA","NA",306.27,0.29,5.12,5.50,9.11,17.44,0.81,61.83,29.52,4.52
"3085","新零售",17.60,573.60,557.70,554.00,-3931.90,7.20,50.69,13.30,27.44,0.60,0.13,-17.20,-23.60,-9.60,-128.20,-1.69,0.20,-2395.00,3.61
"3086","華義",9.66,490.53,840.82,829.89,97.81,4.64,78.66,69.30,5.26,2.34,0.40,4.70,5.15,6.67,11.52,0.67,175.47,221.71,11.82
"3088","艾訊",35.42,250.01,338.11,218.52,4744.67,7.77,46.97,2.72,134.19,2.96,0.98,11.17,17.33,101.68,11.18,7.53,76.50,76.40,8.57
"3093","港建*",33.62,315.98,229.01,205.94,2283.68,4.56,80.04,11.41,31.98,4.42,0.82,9.40,13.82,55.15,11.46,1.06,23.95,107.99,-9.66
