"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1240","茂生農經",35.26,327.49,172.06,125.84,46.24,6.82,53.51,12.15,30.04,7.53,1.49,5.55,8.27,38.29,3.64,3.57,6.88,61.74,-1.45
"1259","安心",60.44,831.24,121.77,116.24,6.24,49.66,7.34,60.96,5.98,12.03,1.01,2.12,4.41,33.56,1.76,3.07,46.01,201.57,0.16
"1264","德麥",20.87,366.41,307.34,229.57,28606.60,5.15,70.87,6.02,60.63,5.48,1.19,17.49,22.10,256.34,14.59,16.19,83.53,107.14,9.04
"1268","漢來美食",57.18,218.40,155.31,129.57,4.16,18.53,19.69,13.28,27.48,3.44,0.64,2.13,4.04,20.76,2.57,2.01,28.94,98.31,3.98
"1294","漢田生技",52.64,152.54,200.71,165.35,25.80,8.48,43.04,7.01,52.06,1.40,0.70,9.43,19.10,33.86,12.94,2.89,65.91,75.18,10.50
"1336","台翰",31.65,190.15,227.40,183.21,20.30,5.54,65.88,10.11,36.10,2.26,0.92,3.50,4.84,17.37,3.69,0.99,12.75,93.12,-1.94
"1565","精華",30.56,172.39,218.30,158.16,110.71,5.98,61.03,3.29,110.94,1.42,0.62,11.48,16.34,228.82,17.54,18.80,60.16,75.96,6.82
"1569","濱川",54.15,136.09,117.45,75.51,9.77,2.48,147.17,2.90,125.86,1.68,0.66,4.87,9.87,31.65,6.61,2.62,29.96,63.40,13.66
"1570","力肯",18.41,480.87,506.87,347.65,2286.80,5.61,65.06,2.40,152.08,3.54,0.68,13.38,16.40,33.28,19.46,2.61,17.53,90.09,-0.99
"1580","新麥",34.77,228.74,175.11,104.73,19793.38,8.18,44.62,3.72,98.11,4.10,1.19,14.58,21.84,139.80,12.09,10.16,31.30,101.97,0.92
"1584","精剛",51.36,246.83,214.72,68.79,5.29,4.86,75.10,1.48,246.62,1.30,0.45,2.61,4.94,4.19,4.90,0.44,-97.64,-69.80,-32.63
"1586","和勤",63.24,152.72,157.54,94.34,865.82,3.64,100.27,3.58,101.95,1.38,0.62,2.98,6.75,21.03,4.08,1.29,17.29,62.83,4.22
"1591","駿吉-KY",35.04,151.64,166.34,65.47,14.91,7.73,47.21,2.48,147.17,1.85,0.84,7.83,12.22,21.45,8.69,1.52,54.53,56.24,13.29
"1593","祺驊",31.42,204.73,344.99,255.07,110.51,4.78,76.35,4.49,81.29,2.52,0.79,11.62,16.16,58.44,14.63,4.90,53.84,51.34,-0.47
"1595","川寶",44.03,409.83,190.01,121.44,3385.88,3.08,118.50,1.55,235.48,3.47,0.57,4.46,7.54,52.03,7.58,3.93,19.70,67.30,11.01
"1599","宏佳騰",36.53,176.31,170.37,121.27,0.00,17.77,20.54,6.59,55.38,3.23,1.27,12.29,18.59,57.46,9.70,4.72,69.00,110.64,25.17
